District,Overall,Cases
101,1,1096.0
102,1,419.0
103,1,5769.0
104,1,59557.0
105,1,42493.0
106,1,1030.0
107,1,8795.0
108,1,7679.0
109,1,11197.0
110,1,8324.0
111,1,4598.0
112,1,1123.0
113,1,1165.0
114,1,15602.0
115,1,8074.0
116,1,1691.0
117,1,2544.0
118,1,10261.0
119,1,2458.0
120,1,8419.0
121,1,3252.0
122,1,1549.0
123,1,83091.0
124,1,4467.0
125,1,1859.0
126,1,94.0
127,1,846.0
128,1,6276.0
129,1,814.0
130,1,5613.0
131,1,2674.0
132,1,449.0
133,1,2475.0
134,1,49198.0
135,1,6641.0
136,1,6211.0
137,1,0.0
138,1,12752.0
139,1,510.0
140,1,1797.0
141,1,4171.0
142,1,1140.0
143,1,634.0
144,1,3643.0
145,1,7594.0
146,1,41905.0
147,1,8023.0
148,1,984.0
149,1,1796.0
150,1,2641.0
151,1,851.0
152,1,2486.0
153,1,1683.0
154,1,3943.0
155,1,3352.0
156,1,5480.0
157,1,1126.0
158,1,7154.0
159,1,5399.0
160,1,1267.0
161,1,12851.0
162,1,4641.0
163,1,4571.0
164,1,2135.0
165,1,2149.0
166,1,2271.0
167,1,1472.0
168,1,4739.0
169,1,4881.0
170,1,9432.0
171,1,10715.0
172,1,24406.0
173,1,10171.0
174,1,247959.0
175,1,1389.0
176,1,2150.0
177,1,2205.0
178,1,5709.0
179,1,11084.0
180,1,2372.0
181,1,7427.0
182,1,3043.0
183,1,5667.0
184,1,4132.0
185,1,1231.0
186,1,2913.0
187,1,7078.0
188,1,21030.0
189,1,9232.0
190,1,820.0
191,1,3506.0
192,1,9153.0
193,1,4538.0
194,1,4335.0
195,1,303.0
196,1,846.0
197,1,3558.0
198,1,2134.0
199,1,964.0
200,1,1348.0
201,1,3106.0
202,1,4573.0
203,1,6691.0
204,1,1056.0
205,1,1123.0
206,1,5841.0
207,1,7639.0
208,1,0.0
209,1,4833.0
210,1,861.0
211,1,700.0
212,1,627.0
213,1,33.0
214,1,3944.0
215,1,115.0
216,1,8822.0
217,1,5095.0
218,1,936.0
219,1,221.0
220,1,551.0
221,1,1505.0
222,1,269369.0
223,1,1263.0
224,1,921.0
225,1,627.0
226,1,8574.0
227,1,8355.0
228,1,501.0
229,1,5795.0
230,1,1375.0
231,1,74231.0
232,1,1799.0
233,1,505.0
234,1,1937.0
235,1,31974.0
236,1,23564.0
237,1,17321.0
238,1,2248.0
239,1,2253.0
240,1,7705.0
