time-id,method,spot,id
1,neighborhood,cold,102
1,neighborhood,cold,116
1,neighborhood,cold,117
1,neighborhood,cold,126
1,neighborhood,cold,129
1,neighborhood,cold,130
1,neighborhood,cold,132
1,neighborhood,cold,137
1,neighborhood,cold,139
1,neighborhood,cold,148
1,neighborhood,cold,157
1,neighborhood,cold,176
1,neighborhood,cold,185
1,neighborhood,cold,196
1,neighborhood,cold,200
1,neighborhood,cold,212
1,neighborhood,cold,220
1,neighborhood,cold,227
1,neighborhood,cold,228
1,neighborhood,cold,245
1,neighborhood,cold,246
1,neighborhood,cold,254
1,neighborhood,cold,257
1,neighborhood,cold,263
1,neighborhood,cold,275
1,neighborhood,cold,286
1,neighborhood,cold,299
1,neighborhood,cold,306
1,neighborhood,cold,325
1,neighborhood,cold,335
1,neighborhood,cold,336
1,neighborhood,cold,337
1,neighborhood,cold,341
1,neighborhood,cold,342
1,neighborhood,cold,344
1,neighborhood,cold,352
1,neighborhood,cold,360
1,neighborhood,cold,370
1,neighborhood,cold,382
1,neighborhood,cold,383
1,neighborhood,cold,384
1,neighborhood,cold,385
1,neighborhood,cold,392
1,neighborhood,cold,397
1,neighborhood,cold,414
1,neighborhood,cold,420
1,neighborhood,cold,429
1,neighborhood,cold,434
1,neighborhood,cold,436
1,neighborhood,cold,439
1,neighborhood,cold,440
1,neighborhood,cold,442
1,neighborhood,cold,443
1,neighborhood,cold,444
1,neighborhood,cold,452
1,neighborhood,cold,467
1,neighborhood,cold,473
1,neighborhood,cold,481
1,neighborhood,cold,485
1,neighborhood,cold,492
1,neighborhood,cold,499
1,neighborhood,cold,504
1,neighborhood,cold,508
1,neighborhood,cold,514
1,neighborhood,cold,517
1,neighborhood,cold,519
1,neighborhood,cold,528
1,neighborhood,cold,530
1,neighborhood,cold,532
1,neighborhood,cold,566
1,neighborhood,cold,568
1,neighborhood,cold,569
1,neighborhood,cold,575
1,neighborhood,cold,579
1,neighborhood,cold,581
1,neighborhood,cold,587
1,neighborhood,cold,591
1,neighborhood,cold,596
1,neighborhood,cold,603
1,neighborhood,cold,609
1,neighborhood,cold,620
1,neighborhood,cold,629
1,neighborhood,cold,634
1,neighborhood,cold,636
1,neighborhood,cold,651
1,neighborhood,cold,655
1,neighborhood,cold,659
1,neighborhood,cold,660
1,neighborhood,cold,684
1,neighborhood,cold,686
1,neighborhood,cold,688
1,neighborhood,cold,693
1,neighborhood,cold,694
1,neighborhood,cold,697
1,neighborhood,cold,701
1,neighborhood,cold,703
1,neighborhood,cold,708
1,neighborhood,cold,710
1,neighborhood,cold,723
1,neighborhood,cold,725
1,neighborhood,cold,730
1,neighborhood,cold,735
1,neighborhood,cold,742
1,neighborhood,cold,743
1,neighborhood,cold,745
1,neighborhood,cold,754
1,neighborhood,cold,773
1,neighborhood,cold,775
1,neighborhood,cold,776
1,neighborhood,cold,780
1,neighborhood,cold,791
1,neighborhood,cold,799
1,neighborhood,cold,813
1,neighborhood,cold,814
1,neighborhood,cold,815
1,neighborhood,hot,103
1,neighborhood,hot,104
1,neighborhood,hot,109
1,neighborhood,hot,114
1,neighborhood,hot,120
1,neighborhood,hot,123
1,neighborhood,hot,135
1,neighborhood,hot,147
1,neighborhood,hot,150
1,neighborhood,hot,161
1,neighborhood,hot,162
1,neighborhood,hot,169
1,neighborhood,hot,174
1,neighborhood,hot,179
1,neighborhood,hot,188
1,neighborhood,hot,193
1,neighborhood,hot,207
1,neighborhood,hot,216
1,neighborhood,hot,222
1,neighborhood,hot,231
1,neighborhood,hot,233
1,neighborhood,hot,235
1,neighborhood,hot,236
1,neighborhood,hot,239
1,neighborhood,hot,241
1,neighborhood,hot,242
1,neighborhood,hot,247
1,neighborhood,hot,252
1,neighborhood,hot,261
1,neighborhood,hot,264
1,neighborhood,hot,268
1,neighborhood,hot,270
1,neighborhood,hot,272
1,neighborhood,hot,280
1,neighborhood,hot,283
1,neighborhood,hot,287
1,neighborhood,hot,289
1,neighborhood,hot,290
1,neighborhood,hot,295
1,neighborhood,hot,310
1,neighborhood,hot,315
1,neighborhood,hot,322
1,neighborhood,hot,326
1,neighborhood,hot,329
1,neighborhood,hot,331
1,neighborhood,hot,332
1,neighborhood,hot,339
1,neighborhood,hot,345
1,neighborhood,hot,351
1,neighborhood,hot,354
1,neighborhood,hot,355
1,neighborhood,hot,356
1,neighborhood,hot,359
1,neighborhood,hot,364
1,neighborhood,hot,368
1,neighborhood,hot,381
1,neighborhood,hot,387
1,neighborhood,hot,389
1,neighborhood,hot,395
1,neighborhood,hot,403
1,neighborhood,hot,411
1,neighborhood,hot,418
1,neighborhood,hot,435
1,neighborhood,hot,449
1,neighborhood,hot,450
1,neighborhood,hot,459
1,neighborhood,hot,465
1,neighborhood,hot,468
1,neighborhood,hot,478
1,neighborhood,hot,480
1,neighborhood,hot,489
1,neighborhood,hot,490
1,neighborhood,hot,493
1,neighborhood,hot,494
1,neighborhood,hot,505
1,neighborhood,hot,506
1,neighborhood,hot,526
1,neighborhood,hot,527
1,neighborhood,hot,531
1,neighborhood,hot,537
1,neighborhood,hot,538
1,neighborhood,hot,541
1,neighborhood,hot,545
1,neighborhood,hot,546
1,neighborhood,hot,552
1,neighborhood,hot,563
1,neighborhood,hot,570
1,neighborhood,hot,571
1,neighborhood,hot,572
1,neighborhood,hot,577
1,neighborhood,hot,590
1,neighborhood,hot,592
1,neighborhood,hot,594
1,neighborhood,hot,599
1,neighborhood,hot,600
1,neighborhood,hot,612
1,neighborhood,hot,613
1,neighborhood,hot,617
1,neighborhood,hot,627
1,neighborhood,hot,631
1,neighborhood,hot,632
1,neighborhood,hot,640
1,neighborhood,hot,656
1,neighborhood,hot,661
1,neighborhood,hot,680
1,neighborhood,hot,714
1,neighborhood,hot,717
1,neighborhood,hot,728
1,neighborhood,hot,729
1,neighborhood,hot,733
1,neighborhood,hot,736
1,neighborhood,hot,746
1,neighborhood,hot,750
1,neighborhood,hot,756
1,neighborhood,hot,769
1,neighborhood,hot,778
1,neighborhood,hot,783
1,neighborhood,hot,786
1,neighborhood,hot,792
1,neighborhood,hot,797
1,neighborhood,hot,802
1,neighborhood,hot,803
1,neighborhood,hot,809
1,neighborhood,hot,812
1,state,cold,275
1,state,cold,352
1,state,cold,416
1,state,cold,438
1,state,cold,463
1,state,cold,473
1,state,cold,499
1,state,cold,574
1,state,cold,575
1,state,cold,610
1,state,cold,775
1,state,cold,794
1,state,cold,800
1,state,hot,104
1,state,hot,106
1,state,hot,114
1,state,hot,174
1,state,hot,188
1,state,hot,216
1,state,hot,218
1,state,hot,222
1,state,hot,237
1,state,hot,238
1,state,hot,252
1,state,hot,272
1,state,hot,283
1,state,hot,287
1,state,hot,289
1,state,hot,290
1,state,hot,295
1,state,hot,310
1,state,hot,313
1,state,hot,315
1,state,hot,326
1,state,hot,331
1,state,hot,332
1,state,hot,334
1,state,hot,339
1,state,hot,351
1,state,hot,354
1,state,hot,355
1,state,hot,356
1,state,hot,359
1,state,hot,362
1,state,hot,387
1,state,hot,403
1,state,hot,411
1,state,hot,435
1,state,hot,445
1,state,hot,450
1,state,hot,468
1,state,hot,480
1,state,hot,489
1,state,hot,490
1,state,hot,505
1,state,hot,531
1,state,hot,570
1,state,hot,592
1,state,hot,599
1,state,hot,600
1,state,hot,612
1,state,hot,613
1,state,hot,617
1,state,hot,627
1,state,hot,640
1,state,hot,711
1,state,hot,717
1,state,hot,720
1,state,hot,729
1,state,hot,736
1,state,hot,746
1,state,hot,750
1,state,hot,767
1,state,hot,786
1,state,hot,812
