time-id,method,spot,id
1,neighborhood,cold,461
1,neighborhood,cold,532
1,neighborhood,hot,104
1,neighborhood,hot,134
1,neighborhood,hot,174
1,neighborhood,hot,184
1,neighborhood,hot,216
1,neighborhood,hot,222
1,neighborhood,hot,226
1,neighborhood,hot,252
1,neighborhood,hot,283
1,neighborhood,hot,291
1,neighborhood,hot,292
1,neighborhood,hot,313
1,neighborhood,hot,331
1,neighborhood,hot,351
1,neighborhood,hot,356
1,neighborhood,hot,359
1,neighborhood,hot,368
1,neighborhood,hot,384
1,neighborhood,hot,395
1,neighborhood,hot,407
1,neighborhood,hot,418
1,neighborhood,hot,421
1,neighborhood,hot,435
1,neighborhood,hot,450
1,neighborhood,hot,463
1,neighborhood,hot,472
1,neighborhood,hot,474
1,neighborhood,hot,480
1,neighborhood,hot,489
1,neighborhood,hot,505
1,neighborhood,hot,527
1,neighborhood,hot,531
1,neighborhood,hot,538
1,neighborhood,hot,563
1,neighborhood,hot,571
1,neighborhood,hot,572
1,neighborhood,hot,577
1,neighborhood,hot,590
1,neighborhood,hot,610
1,neighborhood,hot,617
1,neighborhood,hot,627
1,neighborhood,hot,631
1,neighborhood,hot,643
1,neighborhood,hot,653
1,neighborhood,hot,681
1,neighborhood,hot,714
1,neighborhood,hot,717
1,neighborhood,hot,729
1,neighborhood,hot,736
1,neighborhood,hot,750
1,neighborhood,hot,783
1,neighborhood,hot,786
1,neighborhood,hot,793
1,neighborhood,hot,802
1,neighborhood,hot,818
1,state,cold,281
1,state,cold,416
1,state,cold,724
1,state,hot,104
1,state,hot,174
1,state,hot,184
1,state,hot,216
1,state,hot,222
1,state,hot,252
1,state,hot,283
1,state,hot,291
1,state,hot,292
1,state,hot,295
1,state,hot,313
1,state,hot,331
1,state,hot,351
1,state,hot,356
1,state,hot,359
1,state,hot,368
1,state,hot,384
1,state,hot,407
1,state,hot,421
1,state,hot,435
1,state,hot,450
1,state,hot,463
1,state,hot,480
1,state,hot,489
1,state,hot,499
1,state,hot,531
1,state,hot,570
1,state,hot,577
1,state,hot,588
1,state,hot,590
1,state,hot,610
1,state,hot,617
1,state,hot,627
1,state,hot,653
1,state,hot,681
1,state,hot,714
1,state,hot,729
1,state,hot,736
1,state,hot,746
1,state,hot,783
1,state,hot,793
2,neighborhood,cold,227
2,neighborhood,cold,412
2,neighborhood,cold,499
2,neighborhood,cold,532
2,neighborhood,cold,564
