id,timeid,mean,sd
101,1,5248.60,4701.54
102,1,2262.20,968.26
103,1,3542.78,1870.43
104,1,2860.71,1609.58
105,1,97049.50,117683.08
106,1,1188.43,2635.18
107,1,6798.67,6255.23
108,1,6852.00,2720.09
109,1,8679.75,1949.47
110,1,4669.12,4410.83
111,1,2739.67,3344.81
112,1,2211.33,1391.85
113,1,1521.50,1796.27
114,1,6807.50,6357.11
115,1,5483.50,3617.09
116,1,7339.33,5027.99
117,1,5057.60,1594.88
118,1,8775.20,15877.49
119,1,4168.80,2772.34
120,1,2929.67,1315.43
121,1,5534.17,2685.09
122,1,20131.75,23414.65
123,1,40767.29,31016.54
124,1,4331.44,5205.41
125,1,5443.44,4900.09
126,1,613.50,322.50
127,1,1308.50,1477.10
128,1,5431.75,1638.17
129,1,2751.17,1527.05
130,1,13743.25,7407.79
131,1,20263.00,18261.55
132,1,1837.60,673.98
133,1,3077.25,768.30
134,1,38590.40,26976.79
135,1,4229.17,1772.14
136,1,6724.00,5520.73
137,1,6199.17,5702.06
138,1,15350.60,4682.13
139,1,833.00,236.30
140,1,6884.00,5144.43
141,1,3542.60,2570.32
142,1,2709.83,2023.52
143,1,9724.57,18893.95
144,1,2677.17,1444.71
145,1,6718.33,3942.35
146,1,30617.88,32423.79
147,1,6277.71,1685.18
148,1,3219.50,2213.66
149,1,5068.43,7001.90
150,1,1602.12,787.49
151,1,6007.83,7373.67
152,1,2379.33,497.11
153,1,1458.14,673.07
154,1,6616.80,6031.75
155,1,4099.00,3314.09
156,1,7011.17,4892.91
157,1,2231.83,1057.57
158,1,11455.14,17710.28
159,1,5443.20,6719.70
160,1,3362.80,3470.52
161,1,5640.00,1555.63
162,1,2833.86,1547.70
163,1,7580.60,8457.14
164,1,6940.80,7357.88
165,1,2245.00,2054.36
166,1,13499.33,18669.24
167,1,2676.67,2593.88
168,1,4362.20,1615.80
169,1,2207.17,527.24
170,1,22133.33,17188.13
171,1,12413.00,15089.38
172,1,14778.70,12708.76
173,1,47782.83,89552.35
174,1,7021.33,2367.78
175,1,3006.60,3643.99
176,1,11532.00,6428.35
177,1,29229.29,44603.92
178,1,5772.50,1966.02
179,1,4686.50,2590.06
180,1,13287.60,21342.25
181,1,4866.71,4708.85
182,1,14983.25,16248.05
183,1,20993.00,27275.69
184,1,2953.67,2661.21
185,1,5367.14,3056.03
186,1,2846.86,1899.27
187,1,12745.33,13483.93
188,1,1342.80,408.23
189,1,11697.50,7159.09
190,1,1069.86,636.12
191,1,6172.62,2969.91
192,1,5566.33,8246.29
193,1,1386.50,651.70
194,1,3887.00,2921.48
195,1,575.20,574.30
196,1,3834.83,2089.77
197,1,4027.00,1167.72
198,1,1515.80,904.78
199,1,15711.40,22051.69
200,1,3541.00,1703.40
201,1,6464.88,3641.03
202,1,6846.80,4958.60
203,1,12837.71,16928.90
204,1,3660.20,3384.63
205,1,15146.40,19503.49
206,1,6437.00,2179.50
207,1,804.78,939.46
208,1,0.00,0
209,1,10514.56,10584.27
210,1,1278.50,866.85
211,1,963.67,465.98
212,1,3679.00,2864.93
213,1,368.00,468.19
214,1,6208.60,5187.87
215,1,277.67,171.44
216,1,5740.50,1045.50
217,1,9998.00,18809.62
218,1,1257.80,1967.68
219,1,2768.50,3834.19
220,1,3765.25,1346.31
221,1,6953.80,5578.43
222,1,42741.00,7948.00
223,1,2372.75,2486.65
224,1,11671.17,20054.04
225,1,4739.83,5170.64
226,1,37352.80,33882.56
227,1,17064.29,6286.66
228,1,1548.25,607.52
229,1,32937.80,27644.29
230,1,4633.33,6470.26
231,1,36782.12,28190.48
232,1,3887.00,2668.01
233,1,157.60,96.48
234,1,4216.33,2696.51
235,1,6921.14,2973.42
236,1,11428.43,6979.53
237,1,8574.12,9941.11
238,1,17145.67,22878.47
239,1,1370.67,680.94
240,1,7315.00,2670.00
241,1,12086.80,6923.69
242,1,1956.00,0
243,1,2389.67,2732.56
244,1,24386.25,32091.28
245,1,999.60,268.23
246,1,8016.60,2351.06
247,1,3008.17,2651.78
248,1,10160.67,16894.80
249,1,5025.80,3886.71
250,1,7732.17,7533.71
251,1,16300.20,13326.74
252,1,3530.29,3223.53
253,1,5388.56,8801.44
254,1,5502.00,2871.71
255,1,2576.60,1313.16
256,1,7842.33,4931.70
257,1,3349.00,2727.00
258,1,5112.00,7799.13
259,1,2037.75,663.27
260,1,4843.00,7176.39
261,1,3842.80,2229.89
262,1,5354.29,7684.76
263,1,11870.33,7364.09
264,1,13479.75,6359.91
265,1,2860.71,3366.47
266,1,7778.25,5912.96
267,1,4622.50,2319.86
268,1,844.60,785.21
269,1,23466.00,31218.88
270,1,1576.25,1952.61
271,1,1443.25,2487.84
272,1,1802.75,1639.95
273,1,13459.33,10269.10
274,1,1917.83,2899.73
275,1,1925.00,0
276,1,1878.83,1279.41
277,1,2327.83,1266.68
