id,timeid,mean,sd
101,1,0.40,0.80
101,2,0.00,0.00
101,3,0.00,0.00
101,4,3.20,5.91
101,5,3.00,3.10
101,6,2.00,3.03
101,7,7.40,12.39
101,8,11.60,13.53
101,9,18.00,21.03
101,10,25.40,26.26
101,11,18.40,19.73
101,12,30.20,28.09
101,13,27.60,27.75
101,14,44.60,45.52
101,15,42.20,39.96
101,16,46.60,36.08
101,17,82.40,71.63
101,18,136.20,139.96
101,19,214.40,217.47
101,20,317.60,306.45
101,21,502.00,502.23
101,22,679.40,573.09
101,23,677.00,649.01
101,24,907.20,839.36
101,25,1458.40,1251.27
102,1,0.00,0.00
102,2,0.80,1.60
102,3,0.60,1.20
102,4,4.80,5.42
102,5,7.40,5.78
102,6,16.60,28.03
102,7,20.00,18.71
102,8,42.40,70.66
102,9,30.20,48.73
102,10,66.60,122.75
102,11,88.40,102.92
102,12,111.80,116.91
102,13,73.20,53.58
102,14,69.00,31.38
102,15,45.80,28.32
102,16,28.00,11.61
102,17,37.40,18.51
102,18,81.80,44.47
102,19,119.40,38.83
102,20,162.20,37.22
102,21,173.20,77.21
102,22,214.40,92.95
102,23,232.40,97.88
102,24,253.20,82.22
102,25,394.00,263.64
103,1,0.00,0.00
103,2,0.00,0.00
103,3,2.89,3.75
103,4,1.56,2.31
103,5,11.89,24.13
103,6,9.00,14.58
103,7,23.56,33.52
103,8,21.89,31.46
103,9,19.22,23.33
103,10,28.67,13.21
103,11,38.67,30.01
103,12,80.78,114.66
103,13,113.33,168.81
103,14,156.11,180.57
103,15,221.78,209.61
103,16,222.33,183.63
103,17,204.22,171.38
103,18,199.67,182.07
103,19,224.56,175.30
103,20,218.33,141.56
103,21,274.22,139.33
103,22,313.56,154.84
103,23,392.22,244.59
103,24,346.44,207.91
103,25,423.78,244.27
104,1,0.14,0.35
104,2,1.57,3.06
104,3,1.57,2.82
104,4,3.14,4.73
104,5,5.57,7.01
104,6,6.43,4.24
104,7,20.71,18.43
104,8,31.71,18.73
104,9,43.86,26.41
104,10,34.43,28.71
104,11,32.14,26.49
104,12,45.86,53.28
104,13,49.86,44.05
104,14,50.71,43.87
104,15,74.14,52.75
104,16,90.57,38.37
104,17,153.71,88.75
104,18,207.00,102.65
104,19,279.14,208.72
104,20,316.57,159.68
104,21,316.71,188.15
104,22,298.86,171.43
104,23,252.14,163.69
104,24,277.71,188.42
104,25,278.86,205.63
105,1,2.50,4.42
105,2,2.38,4.12
105,3,14.12,22.82
105,4,34.12,57.28
105,5,74.25,116.40
105,6,26.62,38.31
105,7,154.25,167.92
105,8,426.38,541.90
105,9,704.25,837.45
105,10,910.38,1150.35
105,11,1219.00,1659.95
105,12,1323.38,1806.41
105,13,1652.88,2370.90
105,14,2170.50,2957.70
105,15,3154.50,4636.72
105,16,4137.75,5961.19
105,17,5327.12,7568.13
105,18,6100.25,8136.81
105,19,8030.00,10565.75
105,20,9603.25,12869.09
105,21,10785.62,14129.44
105,22,9925.38,11492.89
105,23,10090.75,11619.14
105,24,10008.25,11768.00
105,25,11260.62,13115.13
106,1,0.00,0.00
106,2,0.00,0.00
106,3,0.29,0.70
106,4,0.00,0.00
106,5,0.00,0.00
106,6,0.00,0.00
106,7,0.00,0.00
106,8,1.43,3.50
106,9,0.14,0.35
106,10,3.71,9.10
106,11,7.14,17.50
106,12,9.43,20.67
106,13,13.57,14.14
106,14,8.43,9.24
106,15,1.86,1.81
106,16,11.14,15.62
106,17,3.29,4.30
106,18,61.71,146.28
106,19,76.29,180.37
106,20,145.14,352.26
106,21,270.57,638.77
106,22,178.14,400.95
106,23,151.57,336.28
106,24,139.71,302.97
106,25,104.86,228.42
107,1,2.83,4.78
107,2,2.33,3.94
107,3,10.83,16.43
107,4,46.83,90.60
107,5,49.33,77.59
107,6,60.67,96.78
107,7,81.67,114.93
107,8,139.17,235.43
107,9,109.17,157.72
107,10,171.00,160.43
107,11,221.50,213.77
107,12,197.33,161.71
107,13,180.50,187.60
107,14,186.67,200.64
107,15,200.83,227.52
107,16,188.50,212.84
107,17,252.17,217.35
107,18,318.50,253.16
107,19,386.17,332.22
107,20,486.67,382.52
107,21,496.00,358.74
107,22,629.17,437.78
107,23,709.33,623.17
107,24,733.83,798.40
107,25,980.33,1115.91
108,1,0.00,0.00
108,2,0.00,0.00
108,3,2.33,1.89
108,4,3.67,3.30
108,5,3.33,3.40
108,6,2.33,1.70
108,7,9.00,8.64
108,8,22.33,25.38
108,9,28.00,29.13
108,10,32.67,31.67
108,11,43.33,42.13
108,12,57.67,49.57
108,13,71.33,39.88
108,14,78.33,33.37
108,15,114.33,48.89
108,16,126.67,72.67
108,17,171.00,96.15
108,18,262.00,163.26
108,19,563.33,197.63
108,20,642.00,282.42
108,21,770.67,286.75
108,22,797.00,246.80
108,23,887.33,383.36
108,24,1060.00,459.11
108,25,1109.33,334.57
109,1,2.25,3.90
109,2,3.50,2.69
109,3,2.50,2.06
109,4,1.50,1.50
109,5,0.25,0.43
109,6,2.75,2.77
109,7,6.00,4.06
109,8,7.75,7.19
109,9,2.25,1.09
109,10,8.75,3.96
109,11,20.25,2.68
109,12,55.50,19.11
109,13,46.25,8.79
109,14,88.75,26.05
109,15,112.25,11.30
109,16,129.25,25.88
109,17,198.25,57.88
109,18,326.75,105.80
109,19,726.25,182.77
109,20,863.75,106.76
109,21,798.50,212.01
109,22,850.00,313.82
109,23,1161.75,408.11
109,24,1529.75,415.13
109,25,1739.50,405.83
110,1,0.75,1.98
110,2,2.75,6.91
110,3,6.75,10.47
110,4,3.50,4.09
110,5,7.12,9.97
110,6,7.38,8.15
110,7,16.38,21.27
110,8,24.88,29.97
110,9,27.25,31.87
110,10,33.00,36.51
110,11,34.38,37.04
110,12,69.38,80.41
110,13,114.75,132.09
110,14,175.62,189.51
110,15,249.62,357.48
110,16,236.75,326.34
110,17,308.25,440.65
110,18,349.88,382.96
110,19,360.00,366.01
110,20,375.88,407.36
110,21,341.50,261.51
110,22,405.38,308.58
110,23,449.62,352.82
110,24,510.12,337.64
110,25,567.38,430.31
111,1,0.00,0.00
111,2,0.00,0.00
111,3,0.00,0.00
111,4,0.00,0.00
111,5,0.00,0.00
111,6,0.00,0.00
111,7,0.00,0.00
111,8,1.67,1.70
111,9,0.00,0.00
111,10,2.00,2.83
111,11,14.33,14.38
111,12,11.00,7.79
111,13,80.67,96.28
111,14,61.33,79.77
111,15,50.67,69.54
111,16,43.00,60.81
111,17,62.00,87.68
111,18,97.67,138.12
111,19,253.00,226.18
111,20,303.00,266.69
111,21,278.00,267.39
111,22,254.67,356.62
111,23,336.00,474.47
111,24,430.67,608.35
111,25,460.00,649.12
112,1,0.00,0.00
112,2,0.00,0.00
112,3,0.00,0.00
112,4,3.17,4.95
112,5,6.33,8.16
112,6,4.33,4.27
112,7,8.00,9.06
112,8,13.33,14.41
112,9,18.50,19.59
112,10,14.33,10.78
112,11,13.83,8.01
112,12,11.00,5.92
112,13,12.00,7.37
112,14,15.67,13.95
112,15,37.33,36.03
112,16,25.83,18.34
112,17,52.67,33.27
112,18,81.50,40.55
112,19,146.67,72.64
112,20,221.33,149.72
112,21,246.50,138.92
112,22,247.33,169.08
112,23,245.83,178.65
112,24,352.83,320.33
112,25,437.33,442.00
113,1,0.00,0.00
113,2,0.17,0.37
113,3,0.83,1.86
113,4,0.50,1.12
113,5,0.17,0.37
113,6,0.17,0.37
113,7,0.33,0.75
113,8,0.17,0.37
113,9,1.17,2.19
113,10,15.83,24.45
113,11,38.67,57.89
113,12,59.33,64.23
113,13,41.67,25.08
113,14,37.67,27.29
113,15,46.33,38.48
113,16,42.67,38.68
113,17,24.50,20.14
113,18,45.00,72.62
113,19,69.17,115.30
113,20,98.00,141.84
113,21,117.67,163.66
113,22,144.67,148.68
113,23,190.83,242.27
113,24,221.50,256.37
113,25,324.83,376.26
114,1,0.67,1.49
114,2,0.33,0.75
114,3,9.00,16.20
114,4,49.00,89.80
114,5,53.00,78.35
114,6,50.67,99.35
114,7,71.50,118.24
114,8,118.50,243.60
114,9,83.00,167.31
114,10,95.33,184.24
114,11,138.00,229.54
114,12,163.67,190.20
114,13,219.00,236.00
114,14,241.33,266.30
114,15,303.17,276.08
114,16,262.17,237.84
114,17,305.50,190.01
114,18,381.50,249.59
114,19,371.00,241.34
114,20,505.33,421.55
114,21,451.17,377.26
114,22,540.17,501.11
114,23,682.83,662.53
114,24,799.50,806.94
114,25,949.67,1135.90
115,1,0.83,1.46
115,2,0.50,1.12
115,3,1.50,2.50
115,4,6.83,13.08
115,5,8.00,8.14
115,6,7.00,12.70
115,7,13.17,16.27
115,8,9.00,10.52
115,9,21.67,25.41
115,10,8.50,9.67
115,11,8.50,8.42
115,12,14.33,10.66
115,13,31.17,6.49
115,14,53.50,23.60
115,15,46.67,24.21
115,16,58.33,32.85
115,17,89.67,87.73
115,18,154.50,150.45
115,19,239.33,164.49
115,20,351.67,258.15
115,21,512.83,424.12
115,22,552.50,372.68
115,23,914.67,688.76
115,24,1143.67,728.34
115,25,1242.67,677.84
116,1,0.00,0.00
116,2,0.00,0.00
116,3,1.33,1.97
116,4,0.83,1.46
116,5,1.67,2.49
116,6,5.50,6.85
116,7,4.50,5.97
116,8,5.33,5.73
116,9,13.83,9.17
116,10,42.33,19.42
116,11,49.83,14.09
116,12,72.33,9.53
116,13,80.33,36.23
116,14,83.67,23.08
116,15,78.83,34.02
116,16,98.67,41.67
116,17,141.83,79.76
116,18,237.00,130.68
116,19,368.33,183.67
116,20,559.67,261.84
116,21,776.00,457.26
116,22,1106.50,710.06
116,23,1263.17,972.56
116,24,1174.17,1158.71
116,25,1175.83,1103.02
117,1,0.00,0.00
117,2,0.40,0.80
117,3,0.60,1.20
117,4,1.20,1.17
117,5,0.00,0.00
117,6,9.00,16.04
117,7,0.80,1.17
117,8,9.00,13.65
117,9,17.20,6.11
117,10,53.40,29.74
117,11,60.20,39.54
117,12,43.60,22.49
117,13,48.00,22.25
117,14,53.00,19.52
117,15,63.20,43.35
117,16,77.20,40.92
117,17,126.60,83.57
117,18,191.00,68.17
117,19,242.20,88.83
117,20,411.20,117.13
117,21,489.20,77.67
117,22,674.40,178.25
117,23,773.40,230.30
117,24,797.60,362.57
117,25,915.60,408.13
118,1,0.20,0.60
118,2,0.70,2.10
118,3,1.40,2.15
118,4,3.40,4.27
118,5,9.10,13.40
118,6,5.10,7.89
118,7,17.50,18.48
118,8,31.10,43.60
118,9,59.90,74.56
118,10,94.50,101.61
118,11,83.80,107.88
118,12,88.00,110.69
118,13,95.10,122.99
118,14,131.10,187.56
118,15,103.20,129.54
118,16,147.00,204.45
118,17,141.70,151.68
118,18,179.50,166.97
118,19,311.10,308.42
118,20,472.10,631.50
118,21,646.00,949.70
118,22,1067.00,2112.34
118,23,1452.80,3247.23
118,24,1577.90,3427.78
118,25,2069.10,4332.70
119,1,0.20,0.40
119,2,1.60,2.73
119,3,2.40,2.94
119,4,4.40,5.71
119,5,4.60,4.54
119,6,6.00,4.60
119,7,11.20,8.98
119,8,20.80,18.82
119,9,30.80,17.71
119,10,18.40,6.28
119,11,20.00,10.92
119,12,16.80,7.60
119,13,18.60,14.43
119,14,22.40,16.30
119,15,45.40,25.77
119,16,77.40,55.26
119,17,155.00,115.10
119,18,311.00,223.87
119,19,392.80,255.14
119,20,429.80,258.06
119,21,518.20,329.23
119,22,474.00,321.27
119,23,505.80,378.23
119,24,487.40,350.65
119,25,601.20,506.32
120,1,0.00,0.00
120,2,0.00,0.00
120,3,0.00,0.00
120,4,0.33,0.47
120,5,1.00,0.82
120,6,0.67,0.47
120,7,9.33,4.11
120,8,88.33,55.63
120,9,80.00,37.80
120,10,31.33,27.45
120,11,6.33,3.30
120,12,9.00,6.38
120,13,12.67,8.06
120,14,27.00,3.74
120,15,29.33,12.39
120,16,48.67,10.08
120,17,45.67,29.33
120,18,43.33,16.05
120,19,69.67,14.84
120,20,176.00,70.10
120,21,253.67,154.01
120,22,296.00,87.78
120,23,383.67,118.91
120,24,680.67,483.88
120,25,645.67,326.72
121,1,0.17,0.37
121,2,0.83,1.86
121,3,4.00,7.23
121,4,6.17,8.07
121,5,17.00,11.55
121,6,20.00,21.53
121,7,30.17,15.88
121,8,47.00,37.67
121,9,49.17,43.55
121,10,62.17,48.56
121,11,64.83,38.36
121,12,71.50,33.85
121,13,116.17,42.66
121,14,181.33,82.87
121,15,198.17,84.35
121,16,214.00,103.69
121,17,268.83,111.16
121,18,349.17,160.49
121,19,401.33,136.22
121,20,412.17,255.97
121,21,438.17,279.90
121,22,476.17,285.51
121,23,545.17,392.42
121,24,714.17,528.12
121,25,858.67,600.64
122,1,2.00,2.12
122,2,4.50,4.97
122,3,7.00,12.12
122,4,73.00,79.61
122,5,174.50,257.65
122,6,305.00,483.37
122,7,537.50,815.01
122,8,782.75,1181.34
122,9,1120.75,1765.00
122,10,917.00,1409.75
122,11,1206.00,1896.99
122,12,1524.25,2375.98
122,13,1176.75,1750.31
122,14,1209.50,1747.06
122,15,1220.50,1675.89
122,16,889.25,1043.95
122,17,890.25,920.72
122,18,1042.25,899.90
122,19,1087.00,1027.47
122,20,998.75,884.23
122,21,933.75,716.83
122,22,1109.00,934.55
122,23,1047.50,912.42
122,24,1090.75,877.26
122,25,1073.75,842.73
123,1,0.14,0.35
123,2,1.43,1.92
123,3,6.00,7.50
123,4,14.14,25.90
123,5,11.00,16.61
123,6,29.86,48.64
123,7,37.29,66.34
123,8,54.14,92.10
123,9,50.29,78.29
123,10,38.86,32.05
123,11,61.00,58.38
123,12,57.57,29.88
123,13,84.57,62.73
123,14,150.43,146.56
123,15,279.86,237.18
123,16,463.14,336.30
123,17,819.14,664.56
123,18,1173.86,1001.92
123,19,2790.71,2675.56
123,20,4408.57,3622.32
123,21,5391.29,4828.74
123,22,6164.71,4904.19
123,23,6019.43,4560.02
123,24,6085.14,4470.37
123,25,6595.71,4346.66
124,1,0.33,0.67
124,2,1.56,4.40
124,3,1.56,3.40
124,4,5.56,9.01
124,5,5.11,7.50
124,6,5.44,12.66
124,7,11.67,17.09
124,8,12.56,16.82
124,9,20.22,30.08
124,10,29.56,30.02
124,11,43.33,35.67
124,12,72.22,61.34
124,13,165.11,153.61
124,14,146.00,113.43
124,15,148.56,132.88
124,16,151.00,130.35
124,17,147.89,172.57
124,18,267.00,319.45
124,19,439.33,629.98
124,20,455.44,586.33
124,21,425.67,627.85
124,22,458.44,696.79
124,23,433.56,724.01
124,24,431.33,606.29
124,25,460.00,612.36
125,1,0.00,0.00
125,2,0.00,0.00
125,3,0.11,0.31
125,4,0.33,0.67
125,5,0.00,0.00
125,6,0.11,0.31
125,7,1.22,2.78
125,8,0.78,1.23
125,9,4.78,5.75
125,10,15.78,16.51
125,11,25.44,19.15
125,12,38.22,34.12
125,13,51.33,52.65
125,14,49.33,76.49
125,15,50.11,74.16
125,16,66.67,82.99
125,17,151.56,164.03
125,18,159.44,184.72
125,19,189.67,200.37
125,20,312.44,268.34
125,21,532.89,448.73
125,22,629.78,487.08
125,23,778.78,656.90
125,24,1128.11,1080.07
125,25,1257.44,1342.07
126,1,0.00,0.00
126,2,0.00,0.00
126,3,0.50,0.50
126,4,0.00,0.00
126,5,0.00,0.00
126,6,0.00,0.00
126,7,0.00,0.00
126,8,0.00,0.00
126,9,0.00,0.00
126,10,0.00,0.00
126,11,1.00,1.00
126,12,16.00,14.00
126,13,13.50,13.50
126,14,9.50,7.50
126,15,16.00,14.00
126,16,12.00,12.00
126,17,23.00,22.00
126,18,12.00,12.00
126,19,20.50,15.50
126,20,68.00,54.00
126,21,85.50,27.50
126,22,83.00,26.00
126,23,70.00,17.00
126,24,68.50,7.50
126,25,114.50,79.50
127,1,0.00,0.00
127,2,0.17,0.37
127,3,0.00,0.00
127,4,0.00,0.00
127,5,0.00,0.00
127,6,0.00,0.00
127,7,1.00,1.41
127,8,0.17,0.37
127,9,1.67,1.37
127,10,8.00,7.70
127,11,27.83,24.20
127,12,28.50,27.87
127,13,31.67,34.91
127,14,34.67,37.29
127,15,12.83,15.26
127,16,15.00,21.79
127,17,25.17,37.59
127,18,47.33,81.01
127,19,47.17,55.47
127,20,84.33,128.94
127,21,76.83,118.90
127,22,98.50,101.01
127,23,157.67,183.92
127,24,230.50,204.82
127,25,380.00,448.67
128,1,0.00,0.00
128,2,0.00,0.00
128,3,0.00,0.00
128,4,0.00,0.00
128,5,0.00,0.00
128,6,0.25,0.43
128,7,0.50,0.50
128,8,1.25,0.43
128,9,15.50,6.80
128,10,21.75,11.82
128,11,42.25,4.38
128,12,63.75,20.25
128,13,94.25,23.76
128,14,96.75,42.80
128,15,64.00,17.22
128,16,56.25,16.68
128,17,99.50,20.89
128,18,149.00,36.09
128,19,289.00,122.41
128,20,568.00,143.21
128,21,604.75,188.87
128,22,884.50,351.03
128,23,922.75,347.21
128,24,730.25,201.61
128,25,728.00,201.63
129,1,0.17,0.37
129,2,1.83,3.29
129,3,1.33,1.60
129,4,0.83,0.90
129,5,1.17,0.90
129,6,3.67,3.82
129,7,12.67,15.61
129,8,38.17,32.97
129,9,76.50,85.05
129,10,106.83,87.06
129,11,138.33,121.94
129,12,109.83,62.54
129,13,55.67,48.30
129,14,53.50,48.29
129,15,65.17,60.78
129,16,82.00,50.98
129,17,118.67,75.30
129,18,164.83,97.26
129,19,175.50,108.18
129,20,226.67,147.37
129,21,244.00,145.37
129,22,283.67,154.40
129,23,241.83,148.47
129,24,290.83,193.90
129,25,263.00,143.62
130,1,0.00,0.00
130,2,0.25,0.43
130,3,5.25,6.87
130,4,11.00,7.81
130,5,9.75,8.35
130,6,8.50,6.73
130,7,9.75,5.12
130,8,121.75,143.73
130,9,86.75,95.74
130,10,75.75,61.44
130,11,21.50,13.90
130,12,28.25,15.12
130,13,51.75,27.15
130,14,94.75,53.08
130,15,239.75,138.98
130,16,367.75,256.18
