id,time-id,mean,sd
101.0,1,2.97,14.93
101.0,2,26.59,81.35
101.0,3,40.41,185.44
101.0,4,422.00,1923.12
101.0,5,1441.91,4505.24
101.0,6,1924.88,2223.85
101.0,7,414.72,346.89
102.0,1,1.29,6.35
102.0,2,39.51,165.20
102.0,3,196.78,591.27
102.0,4,221.12,523.01
102.0,5,593.57,1023.09
102.0,6,1154.67,1901.15
102.0,7,274.35,440.14
103.0,1,1.27,5.30
103.0,2,19.85,39.09
103.0,3,128.79,127.40
103.0,4,370.06,447.98
103.0,5,1321.28,1616.66
103.0,6,3717.24,4924.67
103.0,7,731.59,962.33
104.0,1,1.59,3.37
104.0,2,33.41,94.89
104.0,3,190.06,407.94
104.0,4,374.44,995.63
104.0,5,1227.88,2461.38
104.0,6,1826.03,2864.77
104.0,7,348.34,580.64
105.0,1,7.88,24.59
105.0,2,133.50,515.02
105.0,3,2545.29,8545.91
105.0,4,5121.50,13426.82
105.0,5,12177.03,25677.27
105.0,6,19775.29,32321.69
105.0,7,4427.00,6418.47
106.0,1,0.00,0.00
106.0,2,0.00,0.00
106.0,3,0.00,0.00
106.0,4,29.00,26.85
106.0,5,16.43,9.19
106.0,6,51.14,72.22
106.0,7,10.14,14.41
107.0,1,2.09,5.46
107.0,2,60.62,148.42
107.0,3,344.72,537.81
107.0,4,539.22,688.33
107.0,5,1187.91,1443.19
107.0,6,2329.50,2571.96
107.0,7,435.53,573.98
108.0,1,8.09,24.56
108.0,2,133.59,515.00
108.0,3,2522.91,8551.18
108.0,4,5088.56,13436.65
108.0,5,12317.29,25634.69
108.0,6,20561.38,32213.83
108.0,7,4579.62,6388.38
109.0,1,16.77,28.39
109.0,2,17.31,21.29
109.0,3,78.31,51.67
109.0,4,362.31,162.45
109.0,5,2132.77,1127.93
109.0,6,6451.23,4711.85
109.0,7,1434.46,947.02
110.0,1,1.28,5.30
110.0,2,24.79,56.32
110.0,3,141.89,174.19
110.0,4,370.96,448.47
110.0,5,1317.82,1617.10
110.0,6,3674.31,4925.94
110.0,7,723.04,960.75
111.0,1,1.29,2.58
111.0,2,0.00,0.00
111.0,3,354.62,694.01
111.0,4,1070.05,1590.09
111.0,5,4187.43,6774.88
111.0,6,8258.81,10140.93
111.0,7,1394.10,1551.95
112.0,1,1.29,6.35
112.0,2,39.69,165.17
112.0,3,196.98,591.20
112.0,4,221.20,522.98
112.0,5,592.00,1023.75
112.0,6,1144.37,1904.85
112.0,7,271.96,440.95
113.0,1,0.58,1.66
113.0,2,3.33,5.72
113.0,3,72.92,85.32
113.0,4,329.42,295.15
