id,time-id,mean,sd
101.0,1,4273.47,9104.33
102.0,1,2481.29,4439.18
103.0,1,6290.07,7614.81
104.0,1,4001.75,7299.79
105.0,1,44187.50,79515.68
106.0,1,106.71,97.18
107.0,1,4899.59,5465.59
108.0,1,45211.44,79262.71
109.0,1,10493.15,6729.76
110.0,1,6254.08,7611.15
111.0,1,15266.29,20448.65
112.0,1,2467.49,4444.47
113.0,1,3276.67,3319.49
114.0,1,4686.88,5169.36
115.0,1,5967.10,6650.27
116.0,1,6347.51,7595.26
117.0,1,6335.49,7601.94
118.0,1,45135.50,79297.38
119.0,1,5786.09,12102.82
120.0,1,4696.76,4896.70
121.0,1,6325.52,7606.44
122.0,1,5814.50,12093.90
123.0,1,65358.25,22950.12
124.0,1,3664.44,4029.09
125.0,1,7335.93,8293.09
126.0,1,343.71,589.12
127.0,1,2472.92,4442.66
128.0,1,7309.53,6512.87
129.0,1,5837.47,12085.08
130.0,1,23799.28,45447.79
131.0,1,7409.58,6468.41
132.0,1,2480.71,4439.45
133.0,1,6336.46,7601.45
134.0,1,43990.29,79511.32
135.0,1,6277.79,7614.94
136.0,1,6283.85,7615.05
138.0,1,22963.59,43455.22
139.0,1,3331.25,3278.69
140.0,1,6346.01,7596.16
141.0,1,6312.58,7610.87
142.0,1,4365.62,8553.42
143.0,1,2477.08,4441.03
144.0,1,7274.41,8326.81
145.0,1,7138.17,8352.74
146.0,1,21958.31,43342.47
147.0,1,6258.32,7612.22
148.0,1,2597.84,4190.51
149.0,1,2565.36,4199.73
150.0,1,2531.56,4202.39
151.0,1,2603.16,4188.37
152.0,1,5785.22,12103.06
153.0,1,6347.62,7595.19
154.0,1,3693.56,4032.89
155.0,1,7390.75,6481.17
156.0,1,15224.29,20469.60
157.0,1,5139.25,5463.01
158.0,1,6270.56,7614.35
159.0,1,3612.67,4012.42
160.0,1,5134.84,5466.19
161.0,1,6190.32,7574.49
162.0,1,7240.00,8339.67
163.0,1,5031.59,5506.92
164.0,1,4996.00,4922.95
165.0,1,4330.83,8564.41
166.0,1,2444.98,4448.32
167.0,1,2578.32,4196.84
168.0,1,6304.58,7612.82
169.0,1,4865.24,4960.59
170.0,1,45159.88,79286.53
171.0,1,7186.22,6489.21
172.0,1,22561.72,43493.89
173.0,1,23052.59,43431.56
174.0,1,14853.00,8975.06
175.0,1,2462.27,4445.89
176.0,1,6341.04,7599.02
177.0,1,4238.81,9114.25
178.0,1,7203.17,8348.70
179.0,1,7175.97,6483.33
180.0,1,45367.53,79183.38
181.0,1,4942.34,5490.49
182.0,1,5767.81,12107.39
183.0,1,5685.81,12116.68
184.0,1,5045.31,5505.20
185.0,1,2465.37,4445.09
186.0,1,6212.86,6628.19
187.0,1,7287.25,6515.00
188.0,1,2077.16,3588.90
189.0,1,23084.97,43421.60
190.0,1,2604.40,4187.85
191.0,1,6321.94,7607.82
192.0,1,4888.41,5457.24
193.0,1,2455.68,4182.55
194.0,1,15278.81,20442.03
195.0,1,379.33,400.41
196.0,1,4375.76,8549.42
197.0,1,3534.17,3932.86
198.0,1,4331.34,8564.28
199.0,1,5832.78,12087.00
200.0,1,7353.55,8280.88
201.0,1,6327.58,7605.59
202.0,1,6306.92,7612.32
203.0,1,45240.50,79248.76
204.0,1,5141.44,5461.39
205.0,1,2467.49,4444.47
206.0,1,7321.61,6510.54
207.0,1,4141.52,8549.86
209.0,1,23236.66,43365.22
210.0,1,1185.30,898.38
211.0,1,3315.42,3291.79
212.0,1,3321.50,3286.88
213.0,1,249.14,331.90
214.0,1,6315.77,7609.93
215.0,1,391.87,394.84
216.0,1,0,0
217.0,1,45287.44,79225.43
218.0,1,308.62,577.76
219.0,1,4397.31,8539.70
220.0,1,6325.33,6550.75
221.0,1,3623.43,3909.02
222.0,1,15556.91,11107.89
223.0,1,2464.75,4445.26
224.0,1,2471.45,4443.18
225.0,1,5843.31,12082.60
226.0,1,23107.66,43414.18
227.0,1,23115.21,43411.63
228.0,1,4387.66,8544.26
229.0,1,23203.48,43378.91
230.0,1,6351.96,7592.43
231.0,1,66096.58,23362.51
232.0,1,5118.22,5477.11
233.0,1,365.87,399.35
234.0,1,5113.91,5479.66
235.0,1,22975.50,45530.98
236.0,1,23238.31,45557.88
237.0,1,6802.76,8129.42
238.0,1,1278.50,805.50
239.0,1,5792.50,12101.00
240.0,1,15118.33,20513.96
241.0,1,22498.34,43489.82
242.0,1,1360.50,887.50
243.0,1,2463.65,4445.55
244.0,1,5859.41,12075.30
246.0,1,7356.75,6499.03
247.0,1,14995.76,20550.16
248.0,1,4277.03,8573.04
249.0,1,2461.90,4445.98
250.0,1,5136.62,5464.92
251.0,1,22742.21,43490.31
252.0,1,2655.33,2936.74
254.0,1,7384.66,8256.54
255.0,1,3569.22,3929.32
256.0,1,6262.20,7613.04
257.0,1,5845.19,12081.79
258.0,1,2461.71,4446.03
259.0,1,2999.43,2098.69
260.0,1,2604.08,4187.98
261.0,1,3420.39,3892.46
262.0,1,2454.14,4447.47
263.0,1,23892.34,45407.39
264.0,1,22618.41,43495.19
265.0,1,4372.38,8550.79
266.0,1,7279.41,8324.58
267.0,1,5038.09,5506.24
268.0,1,4303.66,8570.04
269.0,1,44963.82,79366.35
270.0,1,4081.34,8518.84
271.0,1,4389.90,8543.23
272.0,1,412.60,653.92
273.0,1,23557.75,45523.20
274.0,1,2482.98,4438.38
275.0,1,2166.00,82.00
276.0,1,3864.39,3974.28
277.0,1,3635.30,3902.14
278.0,1,5108.41,5482.76
279.0,1,2396.88,4142.34
280.0,1,7201.78,6496.97
281.0,1,5.43,8.52
282.0,1,404.18,854.04
283.0,1,62649.33,18309.51
284.0,1,405.82,853.31
285.0,1,330.12,590.96
287.0,1,148.45,221.11
288.0,1,326.88,590.24
289.0,1,243.33,279.43
290.0,1,3063.91,3183.94
291.0,1,10437.85,6720.79
292.0,1,23781.75,45454.69
293.0,1,6345.77,7596.31
294.0,1,6312.51,7610.89
295.0,1,5105.86,4927.36
296.0,1,4984.05,4929.57
297.0,1,6335.62,7601.87
298.0,1,6265.24,6597.49
299.0,1,4993.19,4924.56
300.0,1,6335.83,7601.77
301.0,1,5014.71,4911.28
302.0,1,4922.05,4953.61
303.0,1,6329.25,7604.86
304.0,1,23026.76,43438.99
305.0,1,45390.44,79170.82
306.0,1,7201.62,8348.98
307.0,1,3750.22,4028.83
308.0,1,5713.25,12115.61
309.0,1,5135.47,5465.74
310.0,1,6149.14,6286.57
311.0,1,3586.65,3924.76
312.0,1,2609.16,4185.75
313.0,1,6146.38,7526.52
314.0,1,7225.81,6506.24
315.0,1,6133.65,7509.10
316.0,1,6290.73,7614.76
317.0,1,5802.75,12097.86
318.0,1,3502.74,3929.65
319.0,1,4362.79,8554.47
320.0,1,3615.87,3912.94
321.0,1,4257.69,8573.67
322.0,1,2905.00,2110.70
323.0,1,6299.63,7613.72
324.0,1,45341.65,79197.28
325.0,1,7331.06,6508.14
326.0,1,6112.76,7477.07
327.0,1,3614.09,3913.81
328.0,1,2477.59,4440.82
329.0,1,66354.42,23433.68
330.0,1,4873.29,4960.47
331.0,1,5185.00,5241.53
332.0,1,2280.27,4293.50
333.0,1,4309.97,8568.96
334.0,1,1033.70,807.85
335.0,1,5148.78,5455.73
336.0,1,6322.32,7607.68
337.0,1,2471.86,4443.04
338.0,1,6298.85,7613.85
339.0,1,2585.50,2779.90
340.0,1,22844.93,43478.24
341.0,1,6354.08,7591.02
342.0,1,23105.34,43414.95
343.0,1,3539.74,3932.80
344.0,1,45345.47,79195.25
345.0,1,6120.24,6659.99
346.0,1,4312.17,8568.55
347.0,1,14739.10,20573.80
348.0,1,2468.06,4444.30
349.0,1,4939.62,4948.55
350.0,1,14196.90,20391.31
351.0,1,2638.19,2243.71
352.0,1,11090.46,6413.71
353.0,1,357.73,395.17
354.0,1,286.87,194.02
355.0,1,2017.53,3230.34
356.0,1,2325.14,4368.34
357.0,1,7270.28,8328.58
358.0,1,4233.56,9115.37
359.0,1,4552.03,4814.41
360.0,1,5149.88,5454.86
361.0,1,7128.93,8352.09
362.0,1,4501.71,4657.12
363.0,1,6333.70,7602.81
364.0,1,43857.47,79498.74
365.0,1,45191.74,79271.95
366.0,1,5089.59,5491.96
367.0,1,15130.52,20509.47
368.0,1,3511.94,3942.96
369.0,1,5673.03,12116.47
370.0,1,3651.70,3891.21
371.0,1,7396.00,6477.81
372.0,1,4261.06,9108.38
373.0,1,2536.64,4202.44
374.0,1,2598.32,4190.32
375.0,1,6266.48,7613.79
376.0,1,4282.16,9101.16
377.0,1,7353.03,6500.58
378.0,1,2464.71,4445.27
379.0,1,6230.38,6618.95
380.0,1,5073.22,5498.24
381.0,1,6248.49,7609.48
382.0,1,15459.81,20327.18
383.0,1,7307.10,8310.61
384.0,1,5107.00,5483.52
385.0,1,6294.19,6576.52
386.0,1,390.60,395.70
387.0,1,4432.53,4362.92
388.0,1,4246.34,9112.46
389.0,1,4178.72,8562.64
390.0,1,5750.81,12110.82
391.0,1,2602.08,4188.82
392.0,1,7412.06,6466.58
393.0,1,6246.24,6609.70
394.0,1,383.73,399.18
395.0,1,22601.66,43495.03
396.0,1,7304.55,8312.01
397.0,1,15438.67,20342.45
398.0,1,23580.19,45517.98
399.0,1,4234.59,9115.16
400.0,1,387.80,397.35
401.0,1,347.38,587.28
402.0,1,4174.14,8561.33
403.0,1,2763.03,2539.92
404.0,1,22887.41,45510.75
405.0,1,7243.38,8338.60
406.0,1,375.60,400.84
407.0,1,1098.30,883.33
408.0,1,6324.24,7606.95
409.0,1,10782.00,6672.95
410.0,1,6341.48,7598.78
411.0,1,5956.30,7093.09
412.0,1,23370.59,45552.49
413.0,1,4978.62,4932.37
414.0,1,12338.00,12231.00
415.0,1,5138.81,5463.33
416.0,1,2828.00,0
417.0,1,4329.83,8564.67
418.0,1,4137.31,9118.24
419.0,1,6065.05,6665.41
420.0,1,23874.44,45415.65
421.0,1,10597.46,6729.36
422.0,1,6347.54,7595.24
423.0,1,3799.06,4013.15
424.0,1,7228.31,6507.02
425.0,1,2470.35,4443.56
426.0,1,6344.85,7596.86
427.0,1,7277.17,8325.59
428.0,1,7259.66,8332.85
429.0,1,7357.14,6498.86
430.0,1,4191.81,9120.73
431.0,1,2453.10,4447.61
432.0,1,2426.59,4447.06
