id,time-id,mean,sd
101.0,1,0.59,2.97
101.0,2,1.44,6.78
101.0,3,6.25,16.76
101.0,4,6.38,15.21
101.0,5,9.53,37.43
101.0,6,5.03,17.58
101.0,7,2.47,11.46
101.0,8,6.34,27.07
101.0,9,11.81,61.13
101.0,10,5.88,31.29
101.0,11,8.47,37.42
101.0,12,30.34,131.37
101.0,13,35.88,156.78
101.0,14,72.88,322.36
101.0,15,198.38,893.91
101.0,16,277.25,1326.98
101.0,17,345.69,1409.48
101.0,18,323.66,974.47
101.0,19,318.66,792.70
101.0,20,331.88,583.85
101.0,21,394.09,570.51
101.0,22,392.56,467.07
101.0,23,359.62,431.47
101.0,24,565.78,539.85
101.0,25,562.97,493.93
102.0,1,0.08,0.55
102.0,2,0.69,2.89
102.0,3,2.75,15.07
102.0,4,6.82,26.27
102.0,5,17.00,84.84
102.0,6,10.55,36.93
102.0,7,23.86,89.08
102.0,8,30.98,115.75
102.0,9,43.10,145.95
102.0,10,50.53,139.78
102.0,11,54.10,142.67
102.0,12,59.92,148.25
102.0,13,53.51,133.05
102.0,14,51.78,128.86
102.0,15,46.67,107.43
102.0,16,57.84,131.85
102.0,17,80.16,155.19
102.0,18,133.02,242.00
102.0,19,172.96,285.72
102.0,20,200.22,341.48
102.0,21,215.71,404.32
102.0,22,222.51,359.11
102.0,23,265.35,461.32
102.0,24,316.18,499.07
102.0,25,379.71,602.32
103.0,1,0.21,1.01
103.0,2,0.52,2.56
103.0,3,1.86,4.76
103.0,4,2.35,4.50
103.0,5,5.87,16.94
103.0,6,9.17,21.17
103.0,7,12.00,20.53
103.0,8,19.11,32.74
103.0,9,22.34,32.14
103.0,10,35.00,33.10
103.0,11,39.59,32.86
103.0,12,50.38,44.44
103.0,13,69.08,72.44
103.0,14,90.23,101.92
103.0,15,115.17,167.25
103.0,16,124.97,178.42
103.0,17,182.41,300.67
103.0,18,250.49,317.51
103.0,19,390.48,501.30
103.0,20,510.06,613.40
103.0,21,657.70,849.66
103.0,22,809.30,1049.34
103.0,23,936.25,1327.81
103.0,24,948.49,1277.43
103.0,25,1013.07,1329.43
104.0,1,0.28,0.76
104.0,2,0.91,2.28
104.0,3,0.78,1.75
104.0,4,5.06,15.15
104.0,5,9.03,23.82
104.0,6,17.31,59.77
104.0,7,23.06,54.74
104.0,8,41.47,102.39
104.0,9,43.44,89.74
104.0,10,43.41,85.94
104.0,11,45.16,93.57
104.0,12,59.91,141.27
104.0,13,64.16,168.70
104.0,14,75.81,195.62
104.0,15,119.31,324.44
104.0,16,159.41,440.22
104.0,17,205.62,474.12
104.0,18,293.41,627.56
104.0,19,320.31,607.23
104.0,20,366.91,592.06
104.0,21,399.66,665.63
104.0,22,408.75,669.14
104.0,23,417.59,708.32
104.0,24,417.94,595.35
104.0,25,475.28,753.88
105.0,1,1.09,3.28
105.0,2,3.38,9.95
105.0,3,12.91,51.00
105.0,4,32.65,133.06
105.0,5,55.56,196.57
105.0,6,35.47,148.56
105.0,7,153.65,614.18
105.0,8,284.44,933.34
105.0,9,425.21,1292.76
105.0,10,684.32,2349.72
105.0,11,977.74,3422.49
105.0,12,817.50,2331.34
105.0,13,1010.71,2925.61
105.0,14,1195.71,3201.41
105.0,15,1539.85,4005.47
105.0,16,1940.82,4685.82
105.0,17,2257.76,5192.50
105.0,18,2468.88,5228.04
105.0,19,3139.15,6489.13
105.0,20,3630.97,7611.81
105.0,21,4135.38,8229.72
105.0,22,4327.76,6985.35
105.0,23,4572.82,7136.02
105.0,24,4787.18,7186.07
105.0,25,5788.65,8064.36
106.0,1,0.00,0.00
106.0,2,0.00,0.00
106.0,3,0.00,0.00
106.0,4,0.00,0.00
106.0,5,0.00,0.00
106.0,6,0.00,0.00
106.0,7,0.00,0.00
106.0,8,0.00,0.00
106.0,9,0.00,0.00
106.0,10,0.00,0.00
106.0,11,0.00,0.00
106.0,12,0.43,0.73
106.0,13,10.57,13.62
106.0,14,4.43,2.56
106.0,15,4.29,3.01
106.0,16,10.71,15.64
106.0,17,4.71,3.81
106.0,18,5.43,5.39
106.0,19,2.29,4.06
106.0,20,3.29,3.92
106.0,21,8.86,10.97
106.0,22,12.71,20.99
106.0,23,13.43,19.05
106.0,24,14.00,22.02
106.0,25,11.57,15.73
107.0,1,0.62,2.38
107.0,2,0.91,2.20
107.0,3,3.84,8.43
107.0,4,14.84,43.34
107.0,5,19.62,46.01
107.0,6,20.00,53.17
107.0,7,39.06,92.11
107.0,8,54.47,137.54
107.0,9,58.88,113.96
107.0,10,80.91,110.31
107.0,11,118.72,152.32
107.0,12,109.19,127.84
107.0,13,119.81,175.19
107.0,14,127.44,175.64
107.0,15,139.59,186.70
107.0,16,149.12,172.54
107.0,17,195.81,226.94
107.0,18,239.41,306.34
107.0,19,326.00,458.02
107.0,20,396.59,498.89
107.0,21,438.19,521.70
107.0,22,510.62,540.87
107.0,23,555.34,602.16
107.0,24,558.19,651.88
107.0,25,642.53,792.09
108.0,1,1.12,3.28
108.0,2,3.41,9.94
108.0,3,13.32,50.95
108.0,4,32.56,133.08
108.0,5,55.59,196.56
108.0,6,35.35,148.58
108.0,7,153.18,614.28
108.0,8,281.44,934.01
108.0,9,421.26,1293.79
108.0,10,678.91,2350.99
108.0,11,968.97,3424.47
108.0,12,810.68,2333.04
108.0,13,1005.35,2927.06
108.0,14,1185.29,3204.44
108.0,15,1532.68,4007.82
108.0,16,1932.91,4688.38
108.0,17,2255.32,5193.35
108.0,18,2477.74,5224.72
108.0,19,3187.21,6475.36
108.0,20,3738.00,7592.55
108.0,21,4256.06,8208.47
108.0,22,4559.91,6986.07
108.0,23,4758.71,7109.74
108.0,24,4976.68,7154.82
108.0,25,5981.74,8020.26
109.0,1,2.31,4.14
109.0,2,9.92,17.44
109.0,3,9.46,15.53
109.0,4,5.08,7.78
109.0,5,2.00,4.19
109.0,6,4.46,6.38
109.0,7,7.69,7.38
109.0,8,7.77,9.01
109.0,9,7.31,6.56
109.0,10,18.31,16.09
109.0,11,38.00,27.32
109.0,12,63.00,31.17
109.0,13,65.38,33.83
109.0,14,84.69,41.13
109.0,15,113.62,60.23
109.0,16,148.23,80.60
109.0,17,220.69,123.88
109.0,18,389.54,275.67
109.0,19,699.46,384.63
109.0,20,848.54,465.25
109.0,21,1109.62,977.57
109.0,22,1202.69,896.85
109.0,23,1592.85,1279.87
109.0,24,1906.15,1308.31
109.0,25,1941.77,1218.88
110.0,1,0.21,1.01
110.0,2,0.52,2.56
110.0,3,2.34,6.08
110.0,4,3.03,7.01
110.0,5,7.38,20.69
110.0,6,11.48,28.81
110.0,7,14.73,32.29
110.0,8,24.04,53.39
110.0,9,26.44,48.35
110.0,10,37.27,40.85
110.0,11,40.46,33.62
110.0,12,50.80,44.79
110.0,13,69.49,72.78
110.0,14,91.10,102.64
110.0,15,114.93,167.21
110.0,16,123.76,177.99
110.0,17,182.34,300.67
110.0,18,250.44,317.52
110.0,19,388.52,501.61
110.0,20,509.34,613.56
110.0,21,654.75,850.10
110.0,22,796.77,1048.82
110.0,23,926.46,1328.78
110.0,24,935.03,1277.06
110.0,25,1000.18,1327.05
111.0,1,0.19,0.66
111.0,2,0.67,1.64
111.0,3,0.43,0.79
111.0,4,0.00,0.00
111.0,5,0.00,0.00
111.0,6,0.00,0.00
111.0,7,0.00,0.00
111.0,8,91.71,230.16
111.0,9,65.05,148.95
111.0,10,61.33,124.11
111.0,11,111.33,167.67
111.0,12,174.86,212.97
111.0,13,201.33,260.38
111.0,14,281.05,459.84
111.0,15,288.05,445.24
111.0,16,375.57,635.86
111.0,17,531.05,888.94
111.0,18,827.86,1317.73
111.0,19,1346.48,2228.41
111.0,20,1478.57,2335.38
111.0,21,1605.71,2359.46
111.0,22,1833.38,2413.50
111.0,23,2008.24,2309.63
111.0,24,2013.19,2249.87
111.0,25,1970.24,2080.56
112.0,1,0.08,0.55
112.0,2,0.69,2.89
112.0,3,2.75,15.07
112.0,4,6.82,26.27
112.0,5,17.04,84.84
112.0,6,10.69,36.90
112.0,7,23.88,89.08
112.0,8,31.14,115.72
112.0,9,43.14,145.94
112.0,10,50.53,139.78
112.0,11,54.10,142.67
112.0,12,59.94,148.24
112.0,13,53.53,133.05
112.0,14,51.82,128.84
112.0,15,46.69,107.42
112.0,16,57.75,131.89
112.0,17,80.22,155.16
112.0,18,132.84,242.07
112.0,19,172.71,285.81
112.0,20,198.80,342.01
112.0,21,214.35,404.83
112.0,22,221.04,359.68
112.0,23,263.51,461.96
112.0,24,312.55,500.26
112.0,25,375.61,603.68
113.0,1,0.25,0.83
113.0,2,0.25,0.60
113.0,3,1.33,2.29
113.0,4,1.00,1.78
113.0,5,0.58,1.19
113.0,6,0.50,1.38
113.0,7,1.83,3.44
113.0,8,1.33,2.36
113.0,9,2.33,3.88
113.0,10,13.08,17.99
113.0,11,44.00,52.17
113.0,12,67.92,66.22
113.0,13,94.08,100.75
113.0,14,70.50,72.85
113.0,15,71.00,62.14
113.0,16,75.75,60.54
113.0,17,43.75,50.39
113.0,18,100.83,133.43
113.0,19,171.75,219.00
113.0,20,187.83,216.26
113.0,21,297.83,359.07
113.0,22,355.75,447.97
113.0,23,411.00,440.68
113.0,24,537.67,543.52
113.0,25,725.83,736.38
114.0,1,0.62,2.38
114.0,2,0.94,2.19
114.0,3,3.81,8.42
114.0,4,14.78,43.36
114.0,5,20.03,45.89
114.0,6,22.94,54.56
114.0,7,40.88,91.99
114.0,8,57.38,137.55
114.0,9,62.50,114.54
114.0,10,83.34,109.95
114.0,11,121.22,151.48
114.0,12,109.47,127.68
114.0,13,117.41,174.88
114.0,14,118.75,172.30
114.0,15,138.03,186.91
114.0,16,146.22,172.14
114.0,17,186.78,219.81
114.0,18,224.84,284.87
114.0,19,298.91,408.43
114.0,20,369.69,437.00
114.0,21,401.81,431.82
114.0,22,475.91,464.39
114.0,23,532.12,564.11
114.0,24,544.91,635.75
114.0,25,614.72,758.39
115.0,1,0.33,0.71
115.0,2,0.62,1.62
115.0,3,2.24,4.07
115.0,4,4.33,8.33
115.0,5,2.52,4.60
115.0,6,2.33,4.93
115.0,7,6.24,10.69
115.0,8,15.43,24.72
115.0,9,19.52,31.90
115.0,10,22.48,32.62
115.0,11,48.05,108.25
115.0,12,109.76,239.12
115.0,13,203.29,483.95
115.0,14,270.57,570.58
115.0,15,309.95,604.45
115.0,16,323.29,660.01
115.0,17,333.62,505.66
115.0,18,401.29,518.93
115.0,19,406.10,485.98
115.0,20,474.86,687.13
115.0,21,446.38,544.23
115.0,22,457.33,415.01
115.0,23,523.57,389.86
115.0,24,684.24,442.23
115.0,25,902.52,588.48
116.0,1,0.21,1.01
116.0,2,0.52,2.56
116.0,3,2.34,6.08
116.0,4,3.03,7.01
116.0,5,7.38,20.69
116.0,6,11.63,28.78
116.0,7,15.15,32.29
116.0,8,24.42,53.31
116.0,9,26.89,48.30
116.0,10,37.99,41.18
116.0,11,40.44,33.63
116.0,12,51.20,44.86
116.0,13,70.52,72.90
116.0,14,92.69,102.57
116.0,15,116.77,166.90
116.0,16,126.61,178.07
116.0,17,184.97,299.99
116.0,18,252.72,316.51
116.0,19,393.49,499.75
116.0,20,513.44,611.82
116.0,21,660.97,848.30
116.0,22,811.69,1048.22
116.0,23,938.66,1326.78
116.0,24,951.52,1276.11
116.0,25,1020.30,1326.83
117.0,1,0.21,1.01
117.0,2,0.52,2.56
117.0,3,2.34,6.08
117.0,4,3.03,7.01
117.0,5,7.38,20.69
117.0,6,11.63,28.78
117.0,7,15.15,32.29
117.0,8,24.35,53.34
117.0,9,26.82,48.33
117.0,10,38.01,41.17
117.0,11,39.38,32.42
117.0,12,50.34,44.38
117.0,13,69.55,72.82
117.0,14,91.73,102.82
117.0,15,116.10,167.18
117.0,16,126.70,178.01
117.0,17,184.61,300.18
117.0,18,252.49,316.66
117.0,19,392.93,500.14
117.0,20,513.30,611.91
117.0,21,660.66,848.47
117.0,22,810.94,1048.61
117.0,23,937.07,1327.50
117.0,24,950.27,1276.72
117.0,25,1018.01,1327.96
118.0,1,1.12,3.28
118.0,2,3.41,9.94
118.0,3,13.29,50.96
118.0,4,32.82,133.03
118.0,5,55.62,196.55
118.0,6,35.50,148.55
118.0,7,153.29,614.26
118.0,8,283.44,933.60
118.0,9,423.74,1293.19
118.0,10,683.12,2350.04
118.0,11,976.18,3422.90
118.0,12,817.29,2331.40
118.0,13,1010.62,2925.64
118.0,14,1194.56,3201.80
118.0,15,1537.44,4006.31
118.0,16,1942.91,4685.07
118.0,17,2260.85,5191.37
118.0,18,2474.12,5226.14
118.0,19,3177.82,6479.03
118.0,20,3727.03,7596.96
118.0,21,4243.76,8213.48
118.0,22,4543.35,6994.96
118.0,23,4732.06,7123.95
118.0,24,4941.82,7173.74
118.0,25,5962.18,8032.14
119.0,1,0.44,1.12
119.0,2,1.28,2.98
119.0,3,1.66,5.04
119.0,4,11.25,36.79
119.0,5,28.38,108.71
119.0,6,52.97,204.33
119.0,7,83.78,338.36
119.0,8,129.59,493.88
119.0,9,173.78,723.65
119.0,10,148.06,581.78
119.0,11,185.12,778.08
119.0,12,235.59,979.06
119.0,13,194.66,737.80
119.0,14,206.97,746.25
119.0,15,246.16,763.81
119.0,16,240.31,616.43
119.0,17,279.22,610.63
119.0,18,366.28,729.10
119.0,19,402.12,739.51
119.0,20,435.06,691.22
