id,timeid,z_neighbour,z_state
101,1,-0.50,-0.20
101,2,1.28,-0.11
101,3,-0.87,-0.18
101,4,-0.91,-0.21
101,5,-0.70,-0.27
101,6,-0.87,-0.57
101,7,-1.01,-0.73
102,1,-0.50,-0.20
102,2,-0.53,-0.17
102,3,-0.67,-0.31
102,4,-1.65,-0.41
102,5,-3.12,-0.46
102,6,-1.99,-0.50
102,7,-1.06,-0.48
103,1,0,-0.05
103,2,8.78,8.80
103,3,9.64,7.93
103,4,-0.01,0.61
103,5,0.06,-0.20
103,6,0.69,-0.34
103,7,1.76,-0.13
104,1,5.12,6.35
104,2,131.89,22.39
104,3,160.76,39.86
104,4,91.07,18.09
104,5,19.29,4.08
104,6,11.28,2.86
104,7,6.98,1.56
105,1,-0.14,-0.04
105,2,-0.52,-0.21
105,3,-0.75,-0.28
105,4,-0.67,-0.34
105,5,-0.59,-0.21
105,6,-0.30,0.29
105,7,-0.27,0.22
106,1,2.46,0
106,2,-0.40,0
106,3,-0.38,0
106,4,1.08,1.82
106,5,-0.04,26.18
106,6,-0.11,7.45
106,7,0.34,6.51
107,1,-0.23,0.53
107,2,-0.19,0.39
107,3,-0.28,0.25
107,4,-0.60,-0.32
107,5,0.64,0.78
107,6,0.73,0.95
107,7,0.18,0.62
108,1,-0.71,-0.33
108,2,1.51,-0.21
108,3,5.59,-0.19
108,4,6.31,-0.26
108,5,0.67,-0.40
108,6,-0.98,-0.56
108,7,-0.89,-0.62
109,1,-0.77,-0.56
109,2,-1.45,-0.67
109,3,0.36,-0.63
109,4,0.76,0.12
109,5,0.48,0.14
109,6,1.21,0.05
109,7,1.91,0.37
110,1,-0.40,-0.24
110,2,-0.47,-0.21
110,3,0.48,0.39
110,4,-0.15,0.47
110,5,-0.13,-0.05
110,6,2.28,0.28
110,7,2.41,0.51
111,1,0,-0.50
111,2,0,0
111,3,-0.80,-0.51
111,4,0.39,-0.46
111,5,-0.66,-0.58
111,6,0.73,-0.53
111,7,1.67,-0.15
112,1,0,-0.20
112,2,-0.94,-0.23
112,3,-1.18,-0.33
112,4,-1.29,-0.42
112,5,-1.08,-0.38
112,6,-0.61,-0.22
112,7,-0.37,-0.19
113,1,-0.46,-0.35
113,2,-0.18,-0.41
113,3,0.01,-0.10
113,4,0.45,-0.21
113,5,-0.14,-0.55
113,6,-0.37,-0.70
113,7,-0.13,-0.61
114,1,-0.29,-0.22
114,2,-0.55,-0.39
114,3,-0.45,-0.50
114,4,-0.25,0.33
114,5,2.71,2.73
114,6,2.23,2.73
114,7,0.78,1.81
115,1,-0.19,-0.13
115,2,-0.44,0.03
115,3,0.30,-0.22
115,4,4.72,-0.24
115,5,2.10,0.17
115,6,0.35,1.02
115,7,0.11,0.58
116,1,0,-0.24
116,2,-1.00,-0.44
116,3,-1.25,-0.34
116,4,-2.41,-0.52
116,5,-1.84,-0.71
116,6,-1.01,-0.54
116,7,-0.79,-0.54
117,1,-0.50,-0.24
117,2,-0.67,-0.44
117,3,0.34,0.19
117,4,1.78,0.01
117,5,-2.10,-0.66
117,6,-1.90,-0.48
117,7,-0.99,-0.37
118,1,-0.47,-0.33
118,2,-0.37,-0.24
118,3,0.14,-0.26
118,4,0.29,-0.33
118,5,1.12,-0.38
118,6,0.04,-0.46
118,7,-0.16,-0.54
119,1,-0.93,-0.46
119,2,-1.07,-0.26
119,3,-2.38,-0.24
119,4,-0.11,-0.25
119,5,-0.86,-0.33
119,6,-0.49,-0.19
119,7,-0.42,-0.17
120,1,0,0.03
120,2,6.38,-0.07
120,3,4.09,5.68
120,4,31.16,3.06
120,5,12.12,0.84
120,6,2.27,0.35
120,7,3.14,0.93
121,1,-0.50,-0.24
121,2,-0.68,0.01
121,3,-1.07,-0.45
121,4,-2.03,-0.54
121,5,-1.50,-0.40
121,6,-0.29,-0.35
121,7,-0.63,-0.40
122,1,-0.85,-0.46
122,2,-0.62,-0.13
122,3,-0.63,-0.21
122,4,-0.66,-0.22
122,5,-0.94,-0.36
122,6,-1.05,-0.47
122,7,-1.13,-0.49
123,1,-0.12,-0.34
123,2,-0.11,-0.39
123,3,0.25,0.12
123,4,2.30,2.74
123,5,1.37,0.79
123,6,1.42,0.86
123,7,0.70,-0.35
124,1,-0.41,-0.44
124,2,1.34,0.82
124,3,2.45,2.74
124,4,0.39,0.98
124,5,-0.11,0.06
124,6,-0.05,0.05
124,7,0.01,-0.04
125,1,0,-0.25
125,2,-0.48,-0.39
125,3,-0.14,-0.35
125,4,-0.51,-0.66
125,5,-0.45,-0.33
125,6,-0.90,-0.80
125,7,-0.42,-0.47
126,1,0,0
126,2,-1.00,-0.20
126,3,-1.00,-0.27
126,4,-1.12,-0.45
126,5,-1.11,-0.33
126,6,-2.27,-0.43
126,7,-1.68,-0.56
127,1,-0.46,-0.20
127,2,-0.45,-0.24
127,3,-0.60,-0.30
127,4,-0.62,-0.35
127,5,-0.46,-0.52
127,6,-0.14,-0.31
127,7,-0.38,-0.25
128,1,0,-0.36
128,2,-0.58,-0.56
128,3,-3.97,-1.16
128,4,-1.40,-0.98
128,5,-1.00,-0.50
128,6,0.79,-0.04
128,7,2.67,0.94
129,1,-0.58,-0.46
129,2,2.37,-0.22
129,3,-0.66,-0.18
129,4,-0.52,-0.23
129,5,-1.22,-0.46
129,6,-1.47,-0.62
129,7,-1.29,-0.55
130,1,-0.58,-0.50
130,2,-1.53,-0.52
130,3,1.27,-0.05
130,4,-1.20,-0.23
130,5,-1.31,-0.46
130,6,-1.00,-0.54
130,7,-0.73,-0.50
131,1,-0.66,-0.36
131,2,-0.78,-0.23
131,3,-0.60,-0.95
131,4,-0.57,-1.31
131,5,-0.96,-0.56
131,6,-0.99,-0.75
131,7,-0.91,-0.80
132,1,-0.50,-0.20
132,2,-0.71,-0.24
132,3,-0.43,-0.31
132,4,-0.22,-0.29
132,5,-1.89,-0.49
132,6,-1.81,-0.50
132,7,-1.47,-0.46
133,1,0,-0.24
133,2,2.55,-0.26
133,3,-1.24,-0.63
133,4,-1.08,-0.54
133,5,-0.74,-0.60
133,6,-0.63,-0.43
133,7,-0.23,-0.42
134,1,-0.30,-0.29
134,2,0.68,-0.18
134,3,2.64,0.00
134,4,1.77,0.05
134,5,1.21,0.15
134,6,-0.02,0.07
134,7,-0.60,-0.26
135,1,0,-0.24
135,2,-0.44,-0.43
135,3,-0.16,0.02
135,4,0.39,-0.11
135,5,1.86,0.03
135,6,0.99,0.01
135,7,2.22,0.32
136,1,-0.46,-0.24
136,2,1.90,-0.30
136,3,-0.41,-0.26
136,4,-0.32,-0.17
136,5,-0.30,-0.23
136,6,-0.01,0.12
136,7,-0.17,-0.16
138,1,0,-0.42
138,2,0.23,0.50
138,3,0.01,-0.05
138,4,-0.99,-0.52
138,5,-0.53,-0.25
138,6,-0.28,-0.20
138,7,-1.25,-0.36
139,1,0,-0.35
139,2,-0.70,-0.60
139,3,-0.52,-0.66
139,4,-0.37,-0.71
139,5,-0.98,-0.81
139,6,-3.13,-0.80
139,7,-1.64,-0.96
140,1,-0.54,-0.05
140,2,-0.59,-0.19
140,3,-0.83,-0.59
140,4,-0.51,0.05
140,5,-0.70,-0.39
140,6,-1.19,-0.65
140,7,-1.41,-0.65
141,1,0,-0.24
141,2,0.60,-0.28
141,3,0.36,-0.08
141,4,-0.14,-0.61
141,5,-0.07,-0.51
141,6,0.40,-0.15
141,7,-0.01,-0.29
142,1,0,-0.17
142,2,-0.60,-0.52
142,3,-1.10,-0.50
142,4,-0.18,-0.23
142,5,-0.93,-0.31
142,6,-0.79,-0.51
142,7,0.98,-0.01
