id,timeid,z_neighbour,z_state
101,1,-0.88,-0.35
102,1,-1.90,-0.46
103,1,1.19,-0.07
104,1,35.22,7.61
105,1,-0.46,-0.02
106,1,-0.06,9.50
107,1,0.32,0.71
108,1,0.30,-0.47
109,1,1.29,0.10
110,1,0.83,0.27
111,1,0.56,-0.52
112,1,-0.78,-0.30
113,1,-0.20,-0.64
114,1,1.38,2.11
115,1,0.72,0.32
116,1,-1.12,-0.61
117,1,-1.58,-0.50
118,1,0.09,-0.44
119,1,-0.62,-0.27
120,1,4.17,0.76
121,1,-0.85,-0.40
122,1,-0.79,-0.35
123,1,1.36,0.77
124,1,0.03,0.20
125,1,-0.73,-0.66
126,1,-1.61,-0.42
127,1,-0.31,-0.37
128,1,0.52,-0.16
129,1,-1.27,-0.42
130,1,-1.10,-0.40
131,1,-0.96,-0.73
132,1,-2.06,-0.46
133,1,-0.78,-0.51
134,1,0.39,0.07
135,1,1.36,0.05
136,1,-0.09,-0.01
138,1,-0.56,-0.23
139,1,-1.37,-0.86
140,1,-0.99,-0.60
141,1,0.24,-0.28
142,1,-0.78,-0.38
143,1,-0.48,-0.42
144,1,0.67,-0.44
145,1,0.22,0.05
146,1,0.35,0.46
147,1,1.04,0.23
148,1,-1.01,-0.39
149,1,-0.47,-0.18
150,1,1.32,0.03
151,1,-0.70,-0.42
152,1,0.21,-0.27
153,1,0.33,-0.61
154,1,-0.44,0.06
155,1,-0.23,-0.62
156,1,-0.31,-0.48
157,1,-1.05,-0.73
158,1,-0.24,0.12
159,1,-0.01,0.45
160,1,-0.60,-0.71
161,1,4.64,0.88
162,1,1.17,-0.31
163,1,-0.36,-0.08
164,1,-0.65,-0.58
165,1,-0.05,-0.25
166,1,-0.60,-0.04
167,1,-0.46,-0.26
168,1,0.23,-0.21
169,1,5.07,0.00
170,1,-0.74,-0.45
171,1,-0.11,0.54
172,1,0.76,0.04
173,1,-0.42,-0.30
174,1,101.76,25.97
175,1,-0.44,-0.24
176,1,-1.46,-0.55
177,1,-0.61,-0.22
178,1,-0.03,-0.18
179,1,2.47,0.60
180,1,-0.51,-0.54
181,1,0.54,0.45
182,1,-0.73,-0.23
183,1,-0.56,-0.00
184,1,0.44,-0.17
185,1,-1.35,-0.28
186,1,0.03,-0.50
187,1,-0.42,-0.03
188,1,48.23,5.28
189,1,-0.34,-0.32
190,1,-0.39,-0.43
191,1,-0.90,-0.37
192,1,0.43,0.78
193,1,4.84,0.50
194,1,0.15,-0.54
195,1,-0.47,-0.19
196,1,-1.43,-0.41
197,1,-0.40,0.01
198,1,0.68,-0.26
199,1,-0.67,-0.40
200,1,-1.29,-0.73
201,1,-0.92,-0.42
202,1,-0.46,-0.23
203,1,-0.36,-0.49
204,1,-0.77,-0.75
205,1,-0.72,-0.30
206,1,-0.27,-0.23
207,1,7.27,0.41
209,1,-0.54,-0.42
210,1,-0.48,-0.36
211,1,-0.57,-0.79
212,1,-1.07,-0.82
213,1,-0.72,-0.65
214,1,-0.44,-0.31
215,1,-0.95,-0.70
216,1,2.95,0
217,1,-0.26,-0.51
218,1,-0.16,1.09
219,1,-0.66,-0.49
220,1,-2.39,-0.88
221,1,-0.98,-0.54
222,1,28.51,22.85
223,1,-0.45,-0.27
224,1,-0.54,-0.35
225,1,-0.80,-0.43
226,1,-0.85,-0.33
227,1,-1.39,-0.34
228,1,-1.72,-0.45
229,1,-0.98,-0.40
230,1,-0.50,-0.66
231,1,1.33,0.35
232,1,-0.78,-0.61
233,1,3.60,0.35
234,1,-0.85,-0.58
235,1,8.43,0.20
236,1,1.74,0.01
237,1,0.88,1.29
238,1,-0.65,1.20
239,1,1.30,-0.29
240,1,0.15,-0.36
241,1,2.04,0.09
242,1,0,0.82
243,1,-0.39,-0.26
244,1,-0.76,-0.48
246,1,-1.46,-0.43
247,1,2.74,-0.23
248,1,-0.38,-0.07
249,1,-0.93,-0.24
250,1,-0.87,-0.72
251,1,0.22,-0.08
252,1,1.58,2.03
254,1,-1.76,-0.84
255,1,0.13,-0.21
256,1,-0.02,0.20
257,1,-1.02,-0.44
258,1,-0.47,-0.23
259,1,0.48,-0.31
260,1,-0.56,-0.42
261,1,1.05,0.71
262,1,-0.46,-0.15
263,1,-1.25,-0.47
264,1,1.46,0.00
265,1,-0.57,-0.40
266,1,-0.72,-0.45
267,1,-0.11,-0.12
268,1,2.66,-0.16
269,1,-0.24,-0.36
270,1,4.00,0.62
271,1,-0.40,-0.46
272,1,1.06,4.80
273,1,-0.01,-0.22
274,1,-0.55,-0.48
275,1,0,-20.65
276,1,-0.79,-0.75
277,1,-0.87,-0.62
278,1,-0.23,-0.55
279,1,0.02,0.87
280,1,1.13,0.45
281,1,0,-0.64
282,1,-0.39,-0.35
283,1,2.27,2.89
284,1,-0.75,-0.37
285,1,-0.35,0.15
287,1,15.01,12.53
288,1,-0.33,0.29
289,1,5.59,9.15
290,1,4.33,3.55
291,1,-0.07,0.22
292,1,-0.34,-0.39
293,1,-0.73,-0.60
294,1,0.87,-0.28
295,1,1.55,4.27
296,1,-0.82,-0.53
297,1,-0.61,-0.50
298,1,-0.48,-0.67
299,1,-1.03,-0.57
300,1,-0.39,-0.50
301,1,-0.17,-0.67
302,1,0.02,-0.25
303,1,-0.49,-0.44
304,1,-0.88,-0.28
305,1,-0.39,-0.55
306,1,-1.05,-0.17
307,1,-0.67,-0.21
308,1,-0.37,-0.08
309,1,-0.71,-0.71
310,1,1.11,4.79
311,1,-0.64,-0.31
312,1,-0.58,-0.46
313,1,0.81,1.31
314,1,0.02,0.32
315,1,2.10,1.43
316,1,-0.23,-0.07
317,1,-0.19,-0.32
318,1,0.63,0.20
319,1,-0.41,-0.37
320,1,-0.52,-0.49
321,1,0.56,0.00
322,1,1.04,0.05
323,1,0.34,-0.16
324,1,0.60,-0.53
325,1,-1.36,-0.28
326,1,7.28,1.64
327,1,-0.40,-0.48
328,1,-0.57,-0.42
329,1,3.11,0.20
330,1,0.42,-0.03
331,1,1.98,3.68
332,1,7.27,1.95
333,1,0.07,-0.18
334,1,-0.47,1.66
335,1,-1.00,-0.79
336,1,-1.12,-0.37
337,1,-2.13,-0.35
338,1,-0.44,-0.15
339,1,1.63,2.47
340,1,0.01,-0.15
341,1,-1.28,-0.68
342,1,-1.09,-0.33
343,1,-0.50,-0.03
344,1,-1.07,-0.53
345,1,1.24,-0.19
346,1,0.27,-0.19
347,1,-0.23,0.05
348,1,-0.17,-0.31
349,1,-0.09,-0.33
350,1,-0.28,0.63
351,1,24.37,22.64
352,1,-1.43,-1.19
353,1,-0.53,0.68
354,1,6.51,7.23
355,1,24.52,6.83
356,1,21.07,1.39
357,1,-0.99,-0.42
358,1,-0.29,-0.20
359,1,3.02,3.19
360,1,-1.43,-0.80
361,1,0.19,0.09
362,1,0.95,1.72
363,1,-0.34,-0.48
364,1,1.25,0.12
365,1,-0.76,-0.46
366,1,-0.62,-0.43
367,1,0.87,-0.37
368,1,12.32,0.94
369,1,0.93,0.03
370,1,-1.69,-0.72
371,1,-1.00,-0.65
372,1,-0.77,-0.30
373,1,-0.32,-0.01
374,1,-0.95,-0.39
375,1,-0.14,0.15
376,1,-0.99,-0.38
377,1,-0.72,-0.41
378,1,-0.87,-0.27
379,1,-0.62,-0.56
380,1,0.23,-0.33
381,1,9.61,0.32
382,1,-2.06,-0.73
383,1,-1.57,-0.55
384,1,-1.03,-0.54
385,1,-1.52,-0.77
386,1,-0.58,-0.65
387,1,6.13,4.43
388,1,-0.67,-0.25
389,1,3.37,0.28
390,1,0.05,-0.18
391,1,-0.26,-0.41
392,1,-1.49,-0.75
393,1,-0.85,-0.61
394,1,-0.61,-0.37
395,1,1.07,0.01
396,1,-0.47,-0.55
397,1,-1.14,-0.71
398,1,-0.22,-0.24
399,1,-0.68,-0.21
400,1,-0.68,-0.53
401,1,-0.78,-0.58
402,1,0.02,0.29
403,1,16.61,17.66
404,1,-0.42,0.26
405,1,-0.43,-0.32
406,1,-0.22,-0.04
407,1,-0.04,0.72
408,1,-0.40,-0.39
409,1,0.46,-0.50
410,1,-0.56,-0.56
411,1,24.32,3.31
412,1,-0.96,-0.09
413,1,-0.70,-0.50
414,1,-4.32,-0.87
415,1,-0.87,-0.73
416,1,-0.07,0
417,1,-0.35,-0.25
418,1,2.09,0.14
419,1,0.87,-0.01
420,1,-1.28,-0.46
421,1,-0.24,-0.11
422,1,-0.67,-0.61
423,1,0.83,-0.44
424,1,0.60,0.30
425,1,-0.44,-0.34
426,1,-0.64,-0.59
427,1,-0.98,-0.45
428,1,-0.69,-0.38
429,1,-1.04,-0.43
430,1,-0.67,-0.05
431,1,-0.36,-0.13
432,1,-0.49,0.18
433,1,-0.52,-0.31
435,1,1.46,4.27
436,1,-1.05,-0.58
437,1,-0.64,-0.56
438,1,-0.90,-1.28
439,1,-1.84,-0.66
440,1,-1.47,-0.48
441,1,-0.74,-0.84
443,1,-1.18,-0.47
444,1,-1.11,-0.20
445,1,0.56,1.65
446,1,-0.76,-0.42
447,1,-0.60,-0.37
448,1,-0.89,0.20
449,1,2.75,-0.00
450,1,1.96,4.81
451,1,-0.96,-0.36
452,1,-1.13,-0.42
453,1,-0.67,-0.46
455,1,-0.54,-0.22
456,1,-0.46,0.02
457,1,-0.47,-0.23
458,1,-0.47,-0.42
459,1,11.47,0.96
460,1,-0.16,-0.45
461,1,0.56,0.12
462,1,-0.58,-0.58
463,1,-0.17,-1.71
464,1,-0.53,-0.43
465,1,1.40,0.04
466,1,-0.25,-0.77
467,1,-1.03,0.06
468,1,2.12,1.10
469,1,-0.79,-0.40
470,1,-0.76,-0.58
471,1,-0.55,-0.00
472,1,-0.22,-0.27
473,1,-1.35,-1.53
474,1,0.63,-0.22
475,1,-0.63,-0.58
476,1,0.17,-0.49
477,1,-0.47,-0.46
478,1,2.15,-0.37
479,1,-0.97,-0.56
480,1,1.42,0
481,1,-4.56,-0.44
482,1,-0.78,-0.61
483,1,-0.54,-0.08
484,1,-0.66,-0.47
485,1,-1.12,-0.67
486,1,-0.58,-0.39
487,1,-0.31,-0.21
488,1,-0.63,-0.40
489,1,35.22,9.93
490,1,4.81,5.24
491,1,-0.14,0.04
492,1,-1.24,-0.48
493,1,5.03,0.31
494,1,1.56,0.12
495,1,-0.17,-0.26
496,1,-0.21,-0.22
497,1,-0.61,-0.08
498,1,-0.59,-0.31
499,1,-4.80,-1.14
500,1,-0.52,-0.39
501,1,-0.86,-0.38
502,1,-0.83,-0.71
503,1,0.06,-0.43
504,1,-1.78,-0.49
505,1,3.44,1.39
506,1,1.49,-0.24
507,1,-0.75,-0.30
508,1,-1.41,-0.57
509,1,0.94,-0.22
510,1,-0.94,-0.39
511,1,-0.55,-0.46
512,1,-0.82,-0.18
513,1,-0.36,-0.28
514,1,-1.61,-0.78
516,1,-0.01,-0.24
517,1,-1.34,-0.44
518,1,0.47,0.04
519,1,-1.15,-0.30
520,1,-0.24,0.42
521,1,0.56,0.28
522,1,-0.43,-0.24
523,1,-0.49,-0.40
524,1,-0.74,-0.47
525,1,-0.54,-0.63
526,1,1.05,-0.08
527,1,3.13,0.50
528,1,-1.11,-0.33
529,1,0.13,0.39
530,1,-1.05,-0.38
531,1,2.38,3.56
533,1,-0.59,-0.45
534,1,-0.41,-0.41
535,1,0.57,-0.40
536,1,-0.42,-0.28
537,1,2.39,0.75
538,1,5.43,0.32
539,1,0.01,-0.60
540,1,-0.63,-0.35
541,1,2.97,0.34
542,1,-0.77,-0.41
543,1,-0.90,-0.30
544,1,-0.84,-0.03
545,1,16.21,0.15
546,1,1.09,0.79
547,1,-0.15,0.31
548,1,-0.64,-0.30
549,1,-0.50,0.00
550,1,-0.98,-0.43
551,1,-0.80,0.12
552,1,1.81,-0.40
553,1,0.25,-0.51
554,1,-0.92,-0.42
555,1,0.37,-0.36
556,1,-0.68,-0.38
557,1,-0.53,-0.35
558,1,0.43,0.45
559,1,-0.73,-0.33
560,1,-0.36,-0.46
561,1,-0.67,-0.13
562,1,-0.48,-0.01
563,1,0,-0.10
564,1,-0.89,-0.45
565,1,-0.69,-0.37
566,1,-1.10,-0.48
567,1,-0.07,-0.04
569,1,-1.27,-0.79
570,1,1.49,3.43
571,1,0,-0.36
572,1,0,-0.50
573,1,-0.61,-0.43
574,1,-0.54,0
575,1,-1.00,-1.00
576,1,0.73,-0.45
577,1,0,-0.10
578,1,-0.95,-0.74
579,1,-1.20,-0.73
580,1,-0.86,-0.42
581,1,-1.20,-0.50
582,1,-0.98,-0.68
583,1,-0.59,-0.20
584,1,-0.52,-0.04
585,1,-0.19,0.07
586,1,0.20,0.60
587,1,-1.10,-0.47
588,1,-0.33,-0.22
589,1,-0.28,-0.24
590,1,1.16,0.24
591,1,-3.10,-0.44
592,1,1.47,11.81
593,1,-0.80,-0.51
594,1,1.86,-0.36
595,1,-0.22,-0.26
596,1,-1.39,-0.30
597,1,-0.62,-0.62
598,1,0.09,-0.51
599,1,3.70,1.80
600,1,14.35,13.71
601,1,-0.86,-0.64
602,1,-0.08,-0.18
603,1,-2.01,-0.47
604,1,-0.34,-0.00
605,1,-0.68,-0.61
606,1,-0.56,-0.89
607,1,-0.45,-0.22
608,1,-0.47,-0.82
609,1,-1.37,-0.43
610,1,-0.46,-1.18
611,1,-0.24,-0.11
612,1,7.89,1.74
613,1,1.25,28.65
614,1,0.20,-0.25
