id,timeid,z_neighbour,z_state
101,1,-0.50,-0.20
101,2,0,-0.21
101,3,0,-0.37
101,4,1.32,0.30
101,5,-0.97,-0.25
101,6,1.65,0.11
101,7,-0.52,-0.13
101,8,-0.41,-0.01
101,9,-0.86,-0.19
101,10,-0.97,-0.19
101,11,-0.93,-0.23
101,12,-0.75,-0.16
101,13,-0.99,-0.23
101,14,-0.91,-0.22
101,15,-0.81,-0.21
101,16,-1.18,-0.21
101,17,-0.76,-0.23
101,18,-0.82,-0.31
101,19,-0.61,-0.30
101,20,-0.69,-0.39
101,21,-0.77,-0.49
101,22,-0.86,-0.45
101,23,-0.89,-0.61
101,24,-0.85,-0.68
101,25,-0.99,-0.71
102,1,0,-0.15
102,2,-0.50,-0.24
102,3,-0.50,-0.18
102,4,-0.89,-0.26
102,5,-0.59,-0.15
102,6,-0.34,-0.10
102,7,-1.02,-0.26
102,8,-0.44,-0.17
102,9,-0.58,-0.28
102,10,-0.54,-0.36
102,11,-0.86,-0.38
102,12,-0.95,-0.40
102,13,-1.35,-0.39
102,14,-2.14,-0.39
102,15,-1.58,-0.43
102,16,-2.41,-0.44
102,17,-1.48,-0.45
102,18,-1.28,-0.45
102,19,-1.56,-0.40
102,20,-3.42,-0.48
102,21,-1.89,-0.47
102,22,-1.82,-0.49
102,23,-1.78,-0.45
102,24,-2.39,-0.52
102,25,-1.21,-0.51
103,1,0,-0.21
103,2,0,-0.20
103,3,8.30,6.75
103,4,20.10,10.14
103,5,3.94,5.97
103,6,11.39,7.83
103,7,5.98,10.33
103,8,11.29,10.93
103,9,13.28,9.54
103,10,16.22,6.28
103,11,2.04,1.84
103,12,0.19,1.18
103,13,0.18,1.03
103,14,0.28,1.14
103,15,-0.41,0.12
103,16,-0.42,0.11
103,17,-0.05,0.04
103,18,-0.06,-0.20
103,19,0.09,-0.30
103,20,0.89,-0.27
103,21,1.07,-0.28
103,22,0.57,-0.39
103,23,0.24,-0.36
103,24,0.73,-0.35
103,25,1.52,-0.16
104,1,13.89,6.21
104,2,3.41,4.86
104,3,9.37,15.55
104,4,41.20,12.74
